iss_date,DATA_INIZIO_SINTOMI,CASI
08/12/2020,28/01/2020,10
08/12/2020,29/01/2020,16
08/12/2020,30/01/2020,18
08/12/2020,31/01/2020,17
08/12/2020,01/02/2020,51
08/12/2020,02/02/2020,35
08/12/2020,03/02/2020,23
08/12/2020,04/02/2020,22
08/12/2020,05/02/2020,30
08/12/2020,06/02/2020,25
08/12/2020,07/02/2020,18
08/12/2020,08/02/2020,14
08/12/2020,09/02/2020,16
08/12/2020,10/02/2020,62
08/12/2020,11/02/2020,27
08/12/2020,12/02/2020,48
08/12/2020,13/02/2020,49
08/12/2020,14/02/2020,65
08/12/2020,15/02/2020,145
08/12/2020,16/02/2020,81
08/12/2020,17/02/2020,138
08/12/2020,18/02/2020,164
08/12/2020,19/02/2020,139
08/12/2020,20/02/2020,403
08/12/2020,21/02/2020,312
08/12/2020,22/02/2020,388
08/12/2020,23/02/2020,509
08/12/2020,24/02/2020,675
08/12/2020,25/02/2020,818
08/12/2020,26/02/2020,738
08/12/2020,27/02/2020,886
08/12/2020,28/02/2020,1206
08/12/2020,29/02/2020,1079
08/12/2020,01/03/2020,2471
08/12/2020,02/03/2020,1947
08/12/2020,03/03/2020,2251
08/12/2020,04/03/2020,1944
08/12/2020,05/03/2020,2632
08/12/2020,06/03/2020,2966
08/12/2020,07/03/2020,3128
08/12/2020,08/03/2020,3661
08/12/2020,09/03/2020,4423
08/12/2020,10/03/2020,6126
08/12/2020,11/03/2020,4199
08/12/2020,12/03/2020,4749
08/12/2020,13/03/2020,5340
08/12/2020,14/03/2020,4695
08/12/2020,15/03/2020,5870
08/12/2020,16/03/2020,5311
08/12/2020,17/03/2020,4510
08/12/2020,18/03/2020,4807
08/12/2020,19/03/2020,4256
08/12/2020,20/03/2020,6117
08/12/2020,21/03/2020,3813
08/12/2020,22/03/2020,3747
08/12/2020,23/03/2020,4376
08/12/2020,24/03/2020,3552
08/12/2020,25/03/2020,3821
08/12/2020,26/03/2020,3291
08/12/2020,27/03/2020,3537
08/12/2020,28/03/2020,3132
08/12/2020,29/03/2020,2374
08/12/2020,30/03/2020,3633
08/12/2020,31/03/2020,2584
08/12/2020,01/04/2020,4070
08/12/2020,02/04/2020,2649
08/12/2020,03/04/2020,2692
08/12/2020,04/04/2020,2289
08/12/2020,05/04/2020,2026
08/12/2020,06/04/2020,2448
08/12/2020,07/04/2020,2215
08/12/2020,08/04/2020,2105
08/12/2020,09/04/2020,1997
08/12/2020,10/04/2020,2697
08/12/2020,11/04/2020,1578
08/12/2020,12/04/2020,1621
08/12/2020,13/04/2020,1483
08/12/2020,14/04/2020,1796
08/12/2020,15/04/2020,2111
08/12/2020,16/04/2020,1603
08/12/2020,17/04/2020,1567
08/12/2020,18/04/2020,1252
08/12/2020,19/04/2020,973
08/12/2020,20/04/2020,1856
08/12/2020,21/04/2020,1161
08/12/2020,22/04/2020,1180
08/12/2020,23/04/2020,1199
08/12/2020,24/04/2020,1075
08/12/2020,25/04/2020,856
08/12/2020,26/04/2020,642
08/12/2020,27/04/2020,1089
08/12/2020,28/04/2020,837
08/12/2020,29/04/2020,891
08/12/2020,30/04/2020,836
08/12/2020,01/05/2020,662
08/12/2020,02/05/2020,472
08/12/2020,03/05/2020,377
08/12/2020,04/05/2020,606
08/12/2020,05/05/2020,606
08/12/2020,06/05/2020,528
08/12/2020,07/05/2020,478
08/12/2020,08/05/2020,486
08/12/2020,09/05/2020,267
08/12/2020,10/05/2020,329
08/12/2020,11/05/2020,380
08/12/2020,12/05/2020,428
08/12/2020,13/05/2020,361
08/12/2020,14/05/2020,312
08/12/2020,15/05/2020,311
08/12/2020,16/05/2020,221
08/12/2020,17/05/2020,172
08/12/2020,18/05/2020,296
08/12/2020,19/05/2020,235
08/12/2020,20/05/2020,274
08/12/2020,21/05/2020,194
08/12/2020,22/05/2020,175
08/12/2020,23/05/2020,122
08/12/2020,24/05/2020,79
08/12/2020,25/05/2020,203
08/12/2020,26/05/2020,170
08/12/2020,27/05/2020,191
08/12/2020,28/05/2020,145
08/12/2020,29/05/2020,134
08/12/2020,30/05/2020,113
08/12/2020,31/05/2020,60
08/12/2020,01/06/2020,166
08/12/2020,02/06/2020,63
08/12/2020,03/06/2020,129
08/12/2020,04/06/2020,116
08/12/2020,05/06/2020,139
08/12/2020,06/06/2020,87
08/12/2020,07/06/2020,64
08/12/2020,08/06/2020,127
08/12/2020,09/06/2020,114
08/12/2020,10/06/2020,115
08/12/2020,11/06/2020,93
08/12/2020,12/06/2020,114
08/12/2020,13/06/2020,68
08/12/2020,14/06/2020,76
08/12/2020,15/06/2020,104
08/12/2020,16/06/2020,93
08/12/2020,17/06/2020,88
08/12/2020,18/06/2020,89
08/12/2020,19/06/2020,82
08/12/2020,20/06/2020,59
08/12/2020,21/06/2020,57
08/12/2020,22/06/2020,87
08/12/2020,23/06/2020,71
08/12/2020,24/06/2020,87
08/12/2020,25/06/2020,83
08/12/2020,26/06/2020,94
08/12/2020,27/06/2020,73
08/12/2020,28/06/2020,50
