iss_date,NOME_NUTS2,CASI_CUMULATIVI
08/12/2020,Abruzzo,30669
08/12/2020,Basilicata,8872
08/12/2020,Calabria,20191
08/12/2020,Campania,163626
08/12/2020,Emilia-Romagna,135651
08/12/2020,Friuli-Venezia Giulia,32303
08/12/2020,Lazio,136666
08/12/2020,Liguria,54209
08/12/2020,Lombardia,430570
08/12/2020,Marche,31608
08/12/2020,Molise,5316
08/12/2020,Piemonte,175699
08/12/2020,Provincia Autonoma di Bolzano/Bozen,25551
08/12/2020,Provincia Autonoma di Trento,17267
08/12/2020,Puglia,66278
08/12/2020,Sardegna,19800
08/12/2020,Sicilia,72205
08/12/2020,Toscana,108147
08/12/2020,Umbria,25783
08/12/2020,Valle d'Aosta/Vallée d'Aoste,6803
08/12/2020,Veneto,170035
