iss_date,DATA_DECESSO,DECESSI
08/12/2020,21/02/2020,<5
08/12/2020,22/02/2020,<5
08/12/2020,23/02/2020,<5
08/12/2020,24/02/2020,<5
08/12/2020,25/02/2020,8
08/12/2020,26/02/2020,6
08/12/2020,27/02/2020,8
08/12/2020,28/02/2020,11
08/12/2020,29/02/2020,15
08/12/2020,01/03/2020,26
08/12/2020,02/03/2020,25
08/12/2020,03/03/2020,56
08/12/2020,04/03/2020,57
08/12/2020,05/03/2020,81
08/12/2020,06/03/2020,112
08/12/2020,07/03/2020,167
08/12/2020,08/03/2020,178
08/12/2020,09/03/2020,226
08/12/2020,10/03/2020,280
08/12/2020,11/03/2020,312
08/12/2020,12/03/2020,325
08/12/2020,13/03/2020,380
08/12/2020,14/03/2020,446
08/12/2020,15/03/2020,438
08/12/2020,16/03/2020,513
08/12/2020,17/03/2020,576
08/12/2020,18/03/2020,645
08/12/2020,19/03/2020,657
08/12/2020,20/03/2020,755
08/12/2020,21/03/2020,818
08/12/2020,22/03/2020,818
08/12/2020,23/03/2020,866
08/12/2020,24/03/2020,823
08/12/2020,25/03/2020,872
08/12/2020,26/03/2020,839
08/12/2020,27/03/2020,888
08/12/2020,28/03/2020,929
08/12/2020,29/03/2020,770
08/12/2020,30/03/2020,795
08/12/2020,31/03/2020,711
08/12/2020,01/04/2020,721
08/12/2020,02/04/2020,695
08/12/2020,03/04/2020,682
08/12/2020,04/04/2020,642
08/12/2020,05/04/2020,604
08/12/2020,06/04/2020,594
08/12/2020,07/04/2020,615
08/12/2020,08/04/2020,606
08/12/2020,09/04/2020,546
08/12/2020,10/04/2020,610
08/12/2020,11/04/2020,587
08/12/2020,12/04/2020,580
08/12/2020,13/04/2020,535
08/12/2020,14/04/2020,545
08/12/2020,15/04/2020,511
08/12/2020,16/04/2020,453
08/12/2020,17/04/2020,477
08/12/2020,18/04/2020,465
08/12/2020,19/04/2020,466
08/12/2020,20/04/2020,448
08/12/2020,21/04/2020,367
08/12/2020,22/04/2020,383
08/12/2020,23/04/2020,359
08/12/2020,24/04/2020,385
08/12/2020,25/04/2020,360
08/12/2020,26/04/2020,317
08/12/2020,27/04/2020,330
08/12/2020,28/04/2020,312
08/12/2020,29/04/2020,299
08/12/2020,30/04/2020,263
08/12/2020,01/05/2020,257
08/12/2020,02/05/2020,255
08/12/2020,03/05/2020,242
08/12/2020,04/05/2020,217
08/12/2020,05/05/2020,227
08/12/2020,06/05/2020,220
08/12/2020,07/05/2020,178
08/12/2020,08/05/2020,173
08/12/2020,09/05/2020,201
08/12/2020,10/05/2020,167
08/12/2020,11/05/2020,165
08/12/2020,12/05/2020,160
08/12/2020,13/05/2020,143
08/12/2020,14/05/2020,143
08/12/2020,15/05/2020,154
08/12/2020,16/05/2020,103
08/12/2020,17/05/2020,117
08/12/2020,18/05/2020,103
08/12/2020,19/05/2020,93
08/12/2020,20/05/2020,90
08/12/2020,21/05/2020,78
08/12/2020,22/05/2020,86
08/12/2020,23/05/2020,98
08/12/2020,24/05/2020,86
08/12/2020,25/05/2020,75
08/12/2020,26/05/2020,61
08/12/2020,27/05/2020,50
08/12/2020,28/05/2020,73
08/12/2020,29/05/2020,66
08/12/2020,30/05/2020,49
08/12/2020,31/05/2020,49
08/12/2020,01/06/2020,60
08/12/2020,02/06/2020,57
08/12/2020,03/06/2020,52
08/12/2020,04/06/2020,59
