iss_date,DATARICOVERO1,RICOVERI
08/12/2020,20/02/2020,91
08/12/2020,21/02/2020,119
08/12/2020,22/02/2020,105
08/12/2020,23/02/2020,148
08/12/2020,24/02/2020,190
08/12/2020,25/02/2020,264
08/12/2020,26/02/2020,270
08/12/2020,27/02/2020,319
08/12/2020,28/02/2020,372
08/12/2020,29/02/2020,366
08/12/2020,01/03/2020,435
08/12/2020,02/03/2020,662
08/12/2020,03/03/2020,803
08/12/2020,04/03/2020,912
08/12/2020,05/03/2020,1090
08/12/2020,06/03/2020,1220
08/12/2020,07/03/2020,1189
08/12/2020,08/03/2020,1150
08/12/2020,09/03/2020,1446
08/12/2020,10/03/2020,1585
08/12/2020,11/03/2020,1743
08/12/2020,12/03/2020,1895
08/12/2020,13/03/2020,2300
08/12/2020,14/03/2020,1981
08/12/2020,15/03/2020,1883
08/12/2020,16/03/2020,2491
08/12/2020,17/03/2020,2669
08/12/2020,18/03/2020,2705
08/12/2020,19/03/2020,2775
08/12/2020,20/03/2020,2840
08/12/2020,21/03/2020,2524
08/12/2020,22/03/2020,2188
08/12/2020,23/03/2020,2693
08/12/2020,24/03/2020,2602
08/12/2020,25/03/2020,2302
08/12/2020,26/03/2020,2107
08/12/2020,27/03/2020,2196
08/12/2020,28/03/2020,1732
08/12/2020,29/03/2020,1420
08/12/2020,30/03/2020,1677
08/12/2020,31/03/2020,1560
08/12/2020,01/04/2020,1471
08/12/2020,02/04/2020,1436
08/12/2020,03/04/2020,1226
08/12/2020,04/04/2020,1006
08/12/2020,05/04/2020,821
08/12/2020,06/04/2020,988
08/12/2020,07/04/2020,1015
08/12/2020,08/04/2020,1016
08/12/2020,09/04/2020,972
08/12/2020,10/04/2020,871
08/12/2020,11/04/2020,776
08/12/2020,12/04/2020,647
08/12/2020,13/04/2020,618
08/12/2020,14/04/2020,809
08/12/2020,15/04/2020,676
08/12/2020,16/04/2020,675
08/12/2020,17/04/2020,681
08/12/2020,18/04/2020,566
08/12/2020,19/04/2020,450
08/12/2020,20/04/2020,622
08/12/2020,21/04/2020,570
08/12/2020,22/04/2020,567
08/12/2020,23/04/2020,559
08/12/2020,24/04/2020,522
08/12/2020,25/04/2020,408
08/12/2020,26/04/2020,344
08/12/2020,27/04/2020,399
08/12/2020,28/04/2020,404
08/12/2020,29/04/2020,381
08/12/2020,30/04/2020,331
08/12/2020,01/05/2020,263
08/12/2020,02/05/2020,229
08/12/2020,03/05/2020,170
08/12/2020,04/05/2020,267
08/12/2020,05/05/2020,245
08/12/2020,06/05/2020,262
08/12/2020,07/05/2020,252
08/12/2020,08/05/2020,265
08/12/2020,09/05/2020,158
08/12/2020,10/05/2020,148
08/12/2020,11/05/2020,219
08/12/2020,12/05/2020,164
08/12/2020,13/05/2020,176
08/12/2020,14/05/2020,174
08/12/2020,15/05/2020,180
08/12/2020,16/05/2020,122
08/12/2020,17/05/2020,107
08/12/2020,18/05/2020,133
08/12/2020,19/05/2020,131
08/12/2020,20/05/2020,128
