iss_date,SESSO,AGE_GROUP,STATO_CLINICO,CASI
08/12/2020,F,0-9,ASINTOMATICO,10431
08/12/2020,F,0-9,CRITICO,11
08/12/2020,F,0-9,LIEVE,2045
08/12/2020,F,0-9,PAUCI-SINTOMATICO,1130
08/12/2020,F,0-9,SEVERO,95
08/12/2020,F,10-19,ASINTOMATICO,21543
08/12/2020,F,10-19,CRITICO,5
08/12/2020,F,10-19,LIEVE,5929
08/12/2020,F,10-19,PAUCI-SINTOMATICO,3433
08/12/2020,F,10-19,SEVERO,102
08/12/2020,F,20-29,ASINTOMATICO,29357
08/12/2020,F,20-29,CRITICO,18
08/12/2020,F,20-29,LIEVE,10376
08/12/2020,F,20-29,PAUCI-SINTOMATICO,5462
08/12/2020,F,20-29,SEVERO,364
08/12/2020,F,30-39,ASINTOMATICO,28927
08/12/2020,F,30-39,CRITICO,27
08/12/2020,F,30-39,LIEVE,11714
08/12/2020,F,30-39,PAUCI-SINTOMATICO,6200
08/12/2020,F,30-39,SEVERO,599
08/12/2020,F,40-49,ASINTOMATICO,37087
08/12/2020,F,40-49,CRITICO,81
08/12/2020,F,40-49,LIEVE,17104
08/12/2020,F,40-49,PAUCI-SINTOMATICO,8471
08/12/2020,F,40-49,SEVERO,800
08/12/2020,F,50-59,ASINTOMATICO,40169
08/12/2020,F,50-59,CRITICO,149
08/12/2020,F,50-59,LIEVE,18038
08/12/2020,F,50-59,PAUCI-SINTOMATICO,9227
08/12/2020,F,50-59,SEVERO,1453
08/12/2020,F,60-69,ASINTOMATICO,23591
08/12/2020,F,60-69,CRITICO,312
08/12/2020,F,60-69,LIEVE,9929
08/12/2020,F,60-69,PAUCI-SINTOMATICO,4993
08/12/2020,F,60-69,SEVERO,1741
08/12/2020,F,70-79,ASINTOMATICO,16879
08/12/2020,F,70-79,CRITICO,347
08/12/2020,F,70-79,LIEVE,6874
08/12/2020,F,70-79,PAUCI-SINTOMATICO,3192
08/12/2020,F,70-79,SEVERO,2746
08/12/2020,F,80-89,ASINTOMATICO,17032
08/12/2020,F,80-89,CRITICO,212
08/12/2020,F,80-89,LIEVE,5609
08/12/2020,F,80-89,PAUCI-SINTOMATICO,2567
08/12/2020,F,80-89,SEVERO,3531
08/12/2020,F,>90,ASINTOMATICO,8701
08/12/2020,F,>90,CRITICO,44
08/12/2020,F,>90,LIEVE,1946
08/12/2020,F,>90,PAUCI-SINTOMATICO,978
08/12/2020,F,>90,SEVERO,1131
08/12/2020,F,Non noto,ASINTOMATICO,29
08/12/2020,F,Non noto,LIEVE,<5
08/12/2020,F,Non noto,PAUCI-SINTOMATICO,<5
08/12/2020,F,Non noto,SEVERO,<5
08/12/2020,M,0-9,ASINTOMATICO,11080
08/12/2020,M,0-9,CRITICO,5
08/12/2020,M,0-9,LIEVE,2313
08/12/2020,M,0-9,PAUCI-SINTOMATICO,1228
08/12/2020,M,0-9,SEVERO,137
08/12/2020,M,10-19,ASINTOMATICO,24028
08/12/2020,M,10-19,CRITICO,8
08/12/2020,M,10-19,LIEVE,6029
08/12/2020,M,10-19,PAUCI-SINTOMATICO,3359
08/12/2020,M,10-19,SEVERO,114
08/12/2020,M,20-29,ASINTOMATICO,31048
08/12/2020,M,20-29,CRITICO,19
08/12/2020,M,20-29,LIEVE,10271
08/12/2020,M,20-29,PAUCI-SINTOMATICO,5017
08/12/2020,M,20-29,SEVERO,285
08/12/2020,M,30-39,ASINTOMATICO,29634
08/12/2020,M,30-39,CRITICO,58
08/12/2020,M,30-39,LIEVE,10686
08/12/2020,M,30-39,PAUCI-SINTOMATICO,5305
08/12/2020,M,30-39,SEVERO,581
08/12/2020,M,40-49,ASINTOMATICO,33831
08/12/2020,M,40-49,CRITICO,158
08/12/2020,M,40-49,LIEVE,13972
08/12/2020,M,40-49,PAUCI-SINTOMATICO,6376
08/12/2020,M,40-49,SEVERO,1318
08/12/2020,M,50-59,ASINTOMATICO,38734
08/12/2020,M,50-59,CRITICO,508
08/12/2020,M,50-59,LIEVE,16359
08/12/2020,M,50-59,PAUCI-SINTOMATICO,7599
08/12/2020,M,50-59,SEVERO,2856
08/12/2020,M,60-69,ASINTOMATICO,25660
08/12/2020,M,60-69,CRITICO,891
08/12/2020,M,60-69,LIEVE,10291
08/12/2020,M,60-69,PAUCI-SINTOMATICO,4780
08/12/2020,M,60-69,SEVERO,3466
08/12/2020,M,70-79,ASINTOMATICO,16096
08/12/2020,M,70-79,CRITICO,919
08/12/2020,M,70-79,LIEVE,7054
08/12/2020,M,70-79,PAUCI-SINTOMATICO,2937
08/12/2020,M,70-79,SEVERO,4174
08/12/2020,M,80-89,ASINTOMATICO,9321
08/12/2020,M,80-89,CRITICO,292
08/12/2020,M,80-89,LIEVE,4201
08/12/2020,M,80-89,PAUCI-SINTOMATICO,1636
08/12/2020,M,80-89,SEVERO,3452
08/12/2020,M,>90,ASINTOMATICO,2055
08/12/2020,M,>90,CRITICO,26
08/12/2020,M,>90,LIEVE,772
08/12/2020,M,>90,PAUCI-SINTOMATICO,299
08/12/2020,M,>90,SEVERO,621
08/12/2020,M,Non noto,ASINTOMATICO,21
08/12/2020,M,Non noto,LIEVE,<5
08/12/2020,M,Non noto,PAUCI-SINTOMATICO,<5
