iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
07/12/2020,F,0-9,<5,30347
07/12/2020,F,10-19,<5,67912
07/12/2020,F,20-29,14,102100
07/12/2020,F,30-39,41,106373
07/12/2020,F,40-49,146,145471
07/12/2020,F,50-59,494,159207
07/12/2020,F,60-69,1415,88245
07/12/2020,F,70-79,4560,67523
07/12/2020,F,80-89,10690,74287
07/12/2020,F,>90,7384,37643
07/12/2020,F,Non noto,<5,61
07/12/2020,M,0-9,<5,32599
07/12/2020,M,10-19,<5,75022
07/12/2020,M,20-29,16,105188
07/12/2020,M,30-39,83,103631
07/12/2020,M,40-49,364,126958
07/12/2020,M,50-59,1490,149662
07/12/2020,M,60-69,4286,102175
07/12/2020,M,70-79,10189,75412
07/12/2020,M,80-89,13405,51194
07/12/2020,M,>90,3776,11026
07/12/2020,M,Non noto,5,61
07/12/2020,Non noto,20-29,<5,<5
07/12/2020,Non noto,30-39,<5,5
07/12/2020,Non noto,40-49,<5,<5
07/12/2020,Non noto,50-59,<5,<5
07/12/2020,Non noto,60-69,<5,<5
07/12/2020,Non noto,80-89,<5,7
