iss_date,DATARICOVERO1,RICOVERI
05/02/2021,20/02/2020,92
05/02/2021,21/02/2020,120
05/02/2021,22/02/2020,106
05/02/2021,23/02/2020,150
05/02/2021,24/02/2020,191
05/02/2021,25/02/2020,267
05/02/2021,26/02/2020,273
05/02/2021,27/02/2020,317
05/02/2021,28/02/2020,377
05/02/2021,29/02/2020,371
05/02/2021,01/03/2020,443
05/02/2021,02/03/2020,666
05/02/2021,03/03/2020,814
05/02/2021,04/03/2020,913
05/02/2021,05/03/2020,1090
05/02/2021,06/03/2020,1231
05/02/2021,07/03/2020,1198
05/02/2021,08/03/2020,1159
05/02/2021,09/03/2020,1450
05/02/2021,10/03/2020,1591
05/02/2021,11/03/2020,1749
05/02/2021,12/03/2020,1905
05/02/2021,13/03/2020,2318
05/02/2021,14/03/2020,1991
05/02/2021,15/03/2020,1899
05/02/2021,16/03/2020,2487
05/02/2021,17/03/2020,2662
05/02/2021,18/03/2020,2702
05/02/2021,19/03/2020,2781
05/02/2021,20/03/2020,2852
05/02/2021,21/03/2020,2534
05/02/2021,22/03/2020,2188
05/02/2021,23/03/2020,2700
05/02/2021,24/03/2020,2608
05/02/2021,25/03/2020,2314
05/02/2021,26/03/2020,2115
05/02/2021,27/03/2020,2212
05/02/2021,28/03/2020,1734
05/02/2021,29/03/2020,1421
05/02/2021,30/03/2020,1677
05/02/2021,31/03/2020,1557
05/02/2021,01/04/2020,1476
05/02/2021,02/04/2020,1444
05/02/2021,03/04/2020,1250
05/02/2021,04/04/2020,1009
05/02/2021,05/04/2020,834
05/02/2021,06/04/2020,1008
05/02/2021,07/04/2020,1010
05/02/2021,08/04/2020,1029
05/02/2021,09/04/2020,978
05/02/2021,10/04/2020,890
05/02/2021,11/04/2020,790
05/02/2021,12/04/2020,653
05/02/2021,13/04/2020,616
05/02/2021,14/04/2020,823
05/02/2021,15/04/2020,679
05/02/2021,16/04/2020,685
05/02/2021,17/04/2020,695
05/02/2021,18/04/2020,569
05/02/2021,19/04/2020,456
05/02/2021,20/04/2020,633
05/02/2021,21/04/2020,571
05/02/2021,22/04/2020,582
05/02/2021,23/04/2020,572
05/02/2021,24/04/2020,534
05/02/2021,25/04/2020,422
05/02/2021,26/04/2020,345
05/02/2021,27/04/2020,408
05/02/2021,28/04/2020,409
05/02/2021,29/04/2020,395
05/02/2021,30/04/2020,343
05/02/2021,01/05/2020,264
05/02/2021,02/05/2020,230
05/02/2021,03/05/2020,174
05/02/2021,04/05/2020,277
05/02/2021,05/05/2020,261
05/02/2021,06/05/2020,272
05/02/2021,07/05/2020,254
05/02/2021,08/05/2020,271
05/02/2021,09/05/2020,157
05/02/2021,10/05/2020,151
05/02/2021,11/05/2020,227
05/02/2021,12/05/2020,173
05/02/2021,13/05/2020,177
05/02/2021,14/05/2020,179
05/02/2021,15/05/2020,186
05/02/2021,16/05/2020,129
05/02/2021,17/05/2020,110
05/02/2021,18/05/2020,139
05/02/2021,19/05/2020,139
05/02/2021,20/05/2020,131
05/02/2021,21/05/2020,103
05/02/2021,22/05/2020,109
05/02/2021,23/05/2020,84
05/02/2021,24/05/2020,78
05/02/2021,25/05/2020,127
05/02/2021,26/05/2020,96
05/02/2021,27/05/2020,91
05/02/2021,28/05/2020,71
05/02/2021,29/05/2020,92
05/02/2021,30/05/2020,75
05/02/2021,31/05/2020,45
05/02/2021,01/06/2020,93
05/02/2021,02/06/2020,57
05/02/2021,03/06/2020,74
05/02/2021,04/06/2020,67
05/02/2021,05/06/2020,70
05/02/2021,06/06/2020,45
05/02/2021,07/06/2020,38
05/02/2021,08/06/2020,87
05/02/2021,09/06/2020,56
05/02/2021,10/06/2020,63
05/02/2021,11/06/2020,47
05/02/2021,12/06/2020,59
05/02/2021,13/06/2020,55
05/02/2021,14/06/2020,47
05/02/2021,15/06/2020,61
05/02/2021,16/06/2020,46
05/02/2021,17/06/2020,51
05/02/2021,18/06/2020,57
05/02/2021,19/06/2020,62
05/02/2021,20/06/2020,31
05/02/2021,21/06/2020,38
05/02/2021,22/06/2020,60
05/02/2021,23/06/2020,46
05/02/2021,24/06/2020,62
05/02/2021,25/06/2020,63
05/02/2021,26/06/2020,64
05/02/2021,27/06/2020,36
05/02/2021,28/06/2020,28
05/02/2021,29/06/2020,59
05/02/2021,30/06/2020,54
05/02/2021,01/07/2020,43
05/02/2021,02/07/2020,59
05/02/2021,03/07/2020,65
05/02/2021,04/07/2020,36
05/02/2021,05/07/2020,46
05/02/2021,06/07/2020,54
05/02/2021,07/07/2020,43
05/02/2021,08/07/2020,50
05/02/2021,09/07/2020,42
05/02/2021,10/07/2020,57
05/02/2021,11/07/2020,43
05/02/2021,12/07/2020,33
05/02/2021,13/07/2020,51
05/02/2021,14/07/2020,43
05/02/2021,15/07/2020,48
05/02/2021,16/07/2020,47
05/02/2021,17/07/2020,68
05/02/2021,18/07/2020,39
05/02/2021,19/07/2020,35
05/02/2021,20/07/2020,50
05/02/2021,21/07/2020,60
05/02/2021,22/07/2020,51
05/02/2021,23/07/2020,59
05/02/2021,24/07/2020,53
05/02/2021,25/07/2020,54
05/02/2021,26/07/2020,41
05/02/2021,27/07/2020,47
05/02/2021,28/07/2020,54
05/02/2021,29/07/2020,48
05/02/2021,30/07/2020,51
05/02/2021,31/07/2020,70
05/02/2021,01/08/2020,63
05/02/2021,02/08/2020,48
05/02/2021,03/08/2020,68
05/02/2021,04/08/2020,54
05/02/2021,05/08/2020,70
05/02/2021,06/08/2020,50
05/02/2021,07/08/2020,60
05/02/2021,08/08/2020,55
05/02/2021,09/08/2020,58
05/02/2021,10/08/2020,73
05/02/2021,11/08/2020,56
05/02/2021,12/08/2020,84
05/02/2021,13/08/2020,74
05/02/2021,14/08/2020,77
05/02/2021,15/08/2020,58
05/02/2021,16/08/2020,62
05/02/2021,17/08/2020,78
05/02/2021,18/08/2020,95
05/02/2021,19/08/2020,124
05/02/2021,20/08/2020,76
05/02/2021,21/08/2020,90
05/02/2021,22/08/2020,111
05/02/2021,23/08/2020,90
05/02/2021,24/08/2020,112
05/02/2021,25/08/2020,137
05/02/2021,26/08/2020,137
05/02/2021,27/08/2020,133
05/02/2021,28/08/2020,133
05/02/2021,29/08/2020,103
05/02/2021,30/08/2020,112
05/02/2021,31/08/2020,118
05/02/2021,01/09/2020,148
05/02/2021,02/09/2020,162
05/02/2021,03/09/2020,176
05/02/2021,04/09/2020,160
05/02/2021,05/09/2020,146
