iss_date,DATA_PRELIEVO_DIAGNOSI,CASI
01/03/2021,29/01/2020,<5
01/03/2021,06/02/2020,<5
01/03/2021,20/02/2020,<5
01/03/2021,21/02/2020,34
01/03/2021,22/02/2020,56
01/03/2021,23/02/2020,74
01/03/2021,24/02/2020,81
01/03/2021,25/02/2020,188
01/03/2021,26/02/2020,273
01/03/2021,27/02/2020,287
01/03/2021,28/02/2020,350
01/03/2021,29/02/2020,375
01/03/2021,01/03/2020,408
01/03/2021,02/03/2020,630
01/03/2021,03/03/2020,803
01/03/2021,04/03/2020,1079
01/03/2021,05/03/2020,1310
01/03/2021,06/03/2020,1524
01/03/2021,07/03/2020,1425
01/03/2021,08/03/2020,1452
01/03/2021,09/03/2020,2240
01/03/2021,10/03/2020,2464
01/03/2021,11/03/2020,2764
01/03/2021,12/03/2020,3138
01/03/2021,13/03/2020,4106
01/03/2021,14/03/2020,3534
01/03/2021,15/03/2020,2850
01/03/2021,16/03/2020,4808
01/03/2021,17/03/2020,5338
01/03/2021,18/03/2020,5691
01/03/2021,19/03/2020,5689
01/03/2021,20/03/2020,6238
01/03/2021,21/03/2020,4910
01/03/2021,22/03/2020,3933
01/03/2021,23/03/2020,6089
01/03/2021,24/03/2020,5905
01/03/2021,25/03/2020,5772
01/03/2021,26/03/2020,5674
01/03/2021,27/03/2020,5761
01/03/2021,28/03/2020,4507
01/03/2021,29/03/2020,2962
01/03/2021,30/03/2020,5065
01/03/2021,31/03/2020,5342
01/03/2021,01/04/2020,4997
01/03/2021,02/04/2020,4721
01/03/2021,03/04/2020,4443
01/03/2021,04/04/2020,3643
01/03/2021,05/04/2020,2593
01/03/2021,06/04/2020,4079
01/03/2021,07/04/2020,4139
01/03/2021,08/04/2020,4797
01/03/2021,09/04/2020,4670
01/03/2021,10/04/2020,5121
01/03/2021,11/04/2020,3412
01/03/2021,12/04/2020,1916
01/03/2021,13/04/2020,2263
01/03/2021,14/04/2020,3274
01/03/2021,15/04/2020,3949
01/03/2021,16/04/2020,3701
01/03/2021,17/04/2020,3493
01/03/2021,18/04/2020,2639
01/03/2021,19/04/2020,1388
01/03/2021,20/04/2020,3002
01/03/2021,21/04/2020,3072
01/03/2021,22/04/2020,2606
01/03/2021,23/04/2020,2800
01/03/2021,24/04/2020,2737
01/03/2021,25/04/2020,1665
01/03/2021,26/04/2020,1017
01/03/2021,27/04/2020,1972
01/03/2021,28/04/2020,2239
01/03/2021,29/04/2020,2323
01/03/2021,30/04/2020,2267
01/03/2021,01/05/2020,1083
01/03/2021,02/05/2020,1019
01/03/2021,03/05/2020,504
01/03/2021,04/05/2020,1447
01/03/2021,05/05/2020,1544
01/03/2021,06/05/2020,1445
01/03/2021,07/05/2020,1388
01/03/2021,08/05/2020,1386
01/03/2021,09/05/2020,734
01/03/2021,10/05/2020,334
01/03/2021,11/05/2020,886
01/03/2021,12/05/2020,923
01/03/2021,13/05/2020,891
01/03/2021,14/05/2020,900
01/03/2021,15/05/2020,801
01/03/2021,16/05/2020,615
01/03/2021,17/05/2020,300
01/03/2021,18/05/2020,658
01/03/2021,19/05/2020,721
01/03/2021,20/05/2020,674
01/03/2021,21/05/2020,624
01/03/2021,22/05/2020,688
01/03/2021,23/05/2020,357
01/03/2021,24/05/2020,145
01/03/2021,25/05/2020,514
01/03/2021,26/05/2020,541
01/03/2021,27/05/2020,531
01/03/2021,28/05/2020,517
01/03/2021,29/05/2020,391
01/03/2021,30/05/2020,285
01/03/2021,31/05/2020,90
01/03/2021,01/06/2020,387
01/03/2021,02/06/2020,87
01/03/2021,03/06/2020,361
01/03/2021,04/06/2020,368
01/03/2021,05/06/2020,386
01/03/2021,06/06/2020,204
01/03/2021,07/06/2020,83
01/03/2021,08/06/2020,301
01/03/2021,09/06/2020,368
01/03/2021,10/06/2020,392
01/03/2021,11/06/2020,448
01/03/2021,12/06/2020,365
01/03/2021,13/06/2020,216
01/03/2021,14/06/2020,68
