iss_date,DATA_INIZIO_SINTOMI,CASI
12/05/2021,28/01/2020,17
12/05/2021,29/01/2020,20
12/05/2021,30/01/2020,27
12/05/2021,31/01/2020,30
12/05/2021,01/02/2020,51
12/05/2021,02/02/2020,41
12/05/2021,03/02/2020,26
12/05/2021,04/02/2020,25
12/05/2021,05/02/2020,30
12/05/2021,06/02/2020,26
12/05/2021,07/02/2020,21
12/05/2021,08/02/2020,17
12/05/2021,09/02/2020,17
12/05/2021,10/02/2020,63
12/05/2021,11/02/2020,30
12/05/2021,12/02/2020,53
12/05/2021,13/02/2020,52
12/05/2021,14/02/2020,68
12/05/2021,15/02/2020,151
12/05/2021,16/02/2020,87
12/05/2021,17/02/2020,140
12/05/2021,18/02/2020,165
12/05/2021,19/02/2020,139
12/05/2021,20/02/2020,408
12/05/2021,21/02/2020,316
12/05/2021,22/02/2020,393
12/05/2021,23/02/2020,515
12/05/2021,24/02/2020,683
12/05/2021,25/02/2020,827
12/05/2021,26/02/2020,746
12/05/2021,27/02/2020,900
12/05/2021,28/02/2020,1222
12/05/2021,29/02/2020,1078
12/05/2021,01/03/2020,2485
12/05/2021,02/03/2020,1956
12/05/2021,03/03/2020,2255
12/05/2021,04/03/2020,1939
12/05/2021,05/03/2020,2637
12/05/2021,06/03/2020,2972
12/05/2021,07/03/2020,3129
12/05/2021,08/03/2020,3679
12/05/2021,09/03/2020,4446
12/05/2021,10/03/2020,6146
12/05/2021,11/03/2020,4223
12/05/2021,12/03/2020,4796
12/05/2021,13/03/2020,5353
12/05/2021,14/03/2020,4712
12/05/2021,15/03/2020,5880
12/05/2021,16/03/2020,5336
12/05/2021,17/03/2020,4530
12/05/2021,18/03/2020,4829
12/05/2021,19/03/2020,4275
12/05/2021,20/03/2020,6148
12/05/2021,21/03/2020,3831
12/05/2021,22/03/2020,3767
12/05/2021,23/03/2020,4380
12/05/2021,24/03/2020,3573
12/05/2021,25/03/2020,3833
12/05/2021,26/03/2020,3314
12/05/2021,27/03/2020,3550
12/05/2021,28/03/2020,3157
12/05/2021,29/03/2020,2384
12/05/2021,30/03/2020,3680
12/05/2021,31/03/2020,2604
12/05/2021,01/04/2020,4077
12/05/2021,02/04/2020,2668
12/05/2021,03/04/2020,2715
12/05/2021,04/04/2020,2318
12/05/2021,05/04/2020,2040
12/05/2021,06/04/2020,2483
12/05/2021,07/04/2020,2247
12/05/2021,08/04/2020,2147
12/05/2021,09/04/2020,2021
12/05/2021,10/04/2020,2735
