iss_date,DATA_INIZIO_SINTOMI,CASI,,,,,,,
08/06/2021,28/01/2020,16,,,,,,,
08/06/2021,29/01/2020,20,,,,,,,
08/06/2021,30/01/2020,26,,,,,,,
08/06/2021,31/01/2020,31,,,,,,,
08/06/2021,01/02/2020,51,,,,,,,
08/06/2021,02/02/2020,41,,,,,,,
08/06/2021,03/02/2020,26,,,,,,,
08/06/2021,04/02/2020,25,,,,,,,
08/06/2021,05/02/2020,30,,,,,,,
08/06/2021,06/02/2020,26,,,,,,,
08/06/2021,07/02/2020,21,,,,,,,
08/06/2021,08/02/2020,15,,,,,,,
08/06/2021,09/02/2020,17,,,,,,,
08/06/2021,10/02/2020,63,,,,,,,
08/06/2021,11/02/2020,30,,,,,,,
08/06/2021,12/02/2020,53,,,,,,,
08/06/2021,13/02/2020,51,,,,,,,
08/06/2021,14/02/2020,67,,,,,,,
08/06/2021,15/02/2020,151,,,,,,,
08/06/2021,16/02/2020,87,,,,,,,
08/06/2021,17/02/2020,140,,,,,,,
08/06/2021,18/02/2020,166,,,,,,,
08/06/2021,19/02/2020,139,,,,,,,
08/06/2021,20/02/2020,408,,,,,,,
08/06/2021,21/02/2020,322,,,,,,,
08/06/2021,22/02/2020,394,,,,,,,
08/06/2021,23/02/2020,515,,,,,,,
08/06/2021,24/02/2020,684,,,,,,,
08/06/2021,25/02/2020,829,,,,,,,
08/06/2021,26/02/2020,747,,,,,,,
08/06/2021,27/02/2020,899,,,,,,,
08/06/2021,28/02/2020,1223,,,,,,,
08/06/2021,29/02/2020,1078,,,,,,,
08/06/2021,01/03/2020,2486,,,,,,,
08/06/2021,02/03/2020,1959,,,,,,,
08/06/2021,03/03/2020,2257,,,,,,,
08/06/2021,04/03/2020,1941,,,,,,,
08/06/2021,05/03/2020,2635,,,,,,,
08/06/2021,06/03/2020,2975,,,,,,,
08/06/2021,07/03/2020,3129,,,,,,,
08/06/2021,08/03/2020,3678,,,,,,,
08/06/2021,09/03/2020,4448,,,,,,,
08/06/2021,10/03/2020,6146,,,,,,,
08/06/2021,11/03/2020,4222,,,,,,,
08/06/2021,12/03/2020,4797,,,,,,,
