iss_date,DATA_INIZIO_SINTOMI,CASI_SINT,,,,,,,
08/06/2021,28/01/2020,13,,,,,,,
08/06/2021,29/01/2020,17,,,,,,,
08/06/2021,30/01/2020,22,,,,,,,
08/06/2021,31/01/2020,26,,,,,,,
08/06/2021,01/02/2020,43,,,,,,,
08/06/2021,02/02/2020,35,,,,,,,
08/06/2021,03/02/2020,24,,,,,,,
08/06/2021,04/02/2020,23,,,,,,,
08/06/2021,05/02/2020,29,,,,,,,
08/06/2021,06/02/2020,23,,,,,,,
08/06/2021,07/02/2020,18,,,,,,,
08/06/2021,08/02/2020,15,,,,,,,
08/06/2021,09/02/2020,14,,,,,,,
08/06/2021,10/02/2020,56,,,,,,,
08/06/2021,11/02/2020,22,,,,,,,
08/06/2021,12/02/2020,49,,,,,,,
08/06/2021,13/02/2020,44,,,,,,,
08/06/2021,14/02/2020,62,,,,,,,
08/06/2021,15/02/2020,139,,,,,,,
08/06/2021,16/02/2020,81,,,,,,,
08/06/2021,17/02/2020,129,,,,,,,
08/06/2021,18/02/2020,154,,,,,,,
08/06/2021,19/02/2020,129,,,,,,,
08/06/2021,20/02/2020,385,,,,,,,
08/06/2021,21/02/2020,303,,,,,,,
08/06/2021,22/02/2020,371,,,,,,,
08/06/2021,23/02/2020,479,,,,,,,
08/06/2021,24/02/2020,621,,,,,,,
08/06/2021,25/02/2020,783,,,,,,,
08/06/2021,26/02/2020,697,,,,,,,
08/06/2021,27/02/2020,810,,,,,,,
08/06/2021,28/02/2020,1149,,,,,,,
08/06/2021,29/02/2020,1006,,,,,,,
08/06/2021,01/03/2020,2269,,,,,,,
08/06/2021,02/03/2020,1811,,,,,,,
08/06/2021,03/03/2020,2044,,,,,,,
08/06/2021,04/03/2020,1753,,,,,,,
08/06/2021,05/03/2020,2391,,,,,,,
08/06/2021,06/03/2020,2670,,,,,,,
08/06/2021,07/03/2020,2857,,,,,,,
08/06/2021,08/03/2020,3346,,,,,,,
08/06/2021,09/03/2020,3955,,,,,,,
08/06/2021,10/03/2020,5477,,,,,,,
08/06/2021,11/03/2020,3731,,,,,,,
08/06/2021,12/03/2020,4245,,,,,,,
08/06/2021,13/03/2020,4732,,,,,,,
08/06/2021,14/03/2020,4109,,,,,,,
08/06/2021,15/03/2020,5211,,,,,,,
08/06/2021,16/03/2020,4723,,,,,,,
08/06/2021,17/03/2020,4023,,,,,,,
08/06/2021,18/03/2020,4228,,,,,,,
08/06/2021,19/03/2020,3754,,,,,,,
