iss_date,DATARICOVERO1,RICOVERI,,,,,,,
08/06/2021,20/02/2020,92,,,,,,,
08/06/2021,21/02/2020,121,,,,,,,
08/06/2021,22/02/2020,106,,,,,,,
08/06/2021,23/02/2020,152,,,,,,,
08/06/2021,24/02/2020,191,,,,,,,
08/06/2021,25/02/2020,268,,,,,,,
08/06/2021,26/02/2020,276,,,,,,,
08/06/2021,27/02/2020,319,,,,,,,
08/06/2021,28/02/2020,379,,,,,,,
08/06/2021,29/02/2020,373,,,,,,,
08/06/2021,01/03/2020,444,,,,,,,
08/06/2021,02/03/2020,666,,,,,,,
08/06/2021,03/03/2020,818,,,,,,,
08/06/2021,04/03/2020,915,,,,,,,
08/06/2021,05/03/2020,1091,,,,,,,
08/06/2021,06/03/2020,1233,,,,,,,
08/06/2021,07/03/2020,1205,,,,,,,
08/06/2021,08/03/2020,1161,,,,,,,
08/06/2021,09/03/2020,1453,,,,,,,
08/06/2021,10/03/2020,1595,,,,,,,
08/06/2021,11/03/2020,1754,,,,,,,
08/06/2021,12/03/2020,1905,,,,,,,
08/06/2021,13/03/2020,2328,,,,,,,
08/06/2021,14/03/2020,1994,,,,,,,
08/06/2021,15/03/2020,1904,,,,,,,
08/06/2021,16/03/2020,2489,,,,,,,
08/06/2021,17/03/2020,2670,,,,,,,
08/06/2021,18/03/2020,2707,,,,,,,
08/06/2021,19/03/2020,2783,,,,,,,
08/06/2021,20/03/2020,2854,,,,,,,
08/06/2021,21/03/2020,2538,,,,,,,
08/06/2021,22/03/2020,2190,,,,,,,
08/06/2021,23/03/2020,2704,,,,,,,
08/06/2021,24/03/2020,2611,,,,,,,
08/06/2021,25/03/2020,2321,,,,,,,
08/06/2021,26/03/2020,2119,,,,,,,
08/06/2021,27/03/2020,2214,,,,,,,
08/06/2021,28/03/2020,1733,,,,,,,
08/06/2021,29/03/2020,1423,,,,,,,
08/06/2021,30/03/2020,1686,,,,,,,
08/06/2021,31/03/2020,1570,,,,,,,
08/06/2021,01/04/2020,1485,,,,,,,
08/06/2021,02/04/2020,1452,,,,,,,
08/06/2021,03/04/2020,1255,,,,,,,
08/06/2021,04/04/2020,1013,,,,,,,
08/06/2021,05/04/2020,835,,,,,,,
08/06/2021,06/04/2020,1012,,,,,,,
08/06/2021,07/04/2020,1014,,,,,,,
08/06/2021,08/04/2020,1033,,,,,,,
08/06/2021,09/04/2020,990,,,,,,,
08/06/2021,10/04/2020,899,,,,,,,
08/06/2021,11/04/2020,800,,,,,,,
08/06/2021,12/04/2020,661,,,,,,,
08/06/2021,13/04/2020,620,,,,,,,
08/06/2021,14/04/2020,837,,,,,,,
08/06/2021,15/04/2020,688,,,,,,,
08/06/2021,16/04/2020,693,,,,,,,
08/06/2021,17/04/2020,706,,,,,,,
08/06/2021,18/04/2020,568,,,,,,,
08/06/2021,19/04/2020,461,,,,,,,
08/06/2021,20/04/2020,646,,,,,,,
08/06/2021,21/04/2020,580,,,,,,,
08/06/2021,22/04/2020,584,,,,,,,
08/06/2021,23/04/2020,575,,,,,,,
08/06/2021,24/04/2020,541,,,,,,,
08/06/2021,25/04/2020,426,,,,,,,
08/06/2021,26/04/2020,348,,,,,,,
08/06/2021,27/04/2020,419,,,,,,,
08/06/2021,28/04/2020,415,,,,,,,
08/06/2021,29/04/2020,401,,,,,,,
08/06/2021,30/04/2020,351,,,,,,,
08/06/2021,01/05/2020,269,,,,,,,
08/06/2021,02/05/2020,235,,,,,,,
08/06/2021,03/05/2020,180,,,,,,,
08/06/2021,04/05/2020,284,,,,,,,
08/06/2021,05/05/2020,271,,,,,,,
08/06/2021,06/05/2020,281,,,,,,,
08/06/2021,07/05/2020,264,,,,,,,
08/06/2021,08/05/2020,274,,,,,,,
08/06/2021,09/05/2020,163,,,,,,,
08/06/2021,10/05/2020,154,,,,,,,
08/06/2021,11/05/2020,225,,,,,,,
08/06/2021,12/05/2020,177,,,,,,,
08/06/2021,13/05/2020,178,,,,,,,
08/06/2021,14/05/2020,186,,,,,,,
08/06/2021,15/05/2020,190,,,,,,,
08/06/2021,16/05/2020,134,,,,,,,
08/06/2021,17/05/2020,115,,,,,,,
08/06/2021,18/05/2020,147,,,,,,,
08/06/2021,19/05/2020,143,,,,,,,
08/06/2021,20/05/2020,138,,,,,,,
08/06/2021,21/05/2020,107,,,,,,,
08/06/2021,22/05/2020,111,,,,,,,
08/06/2021,23/05/2020,88,,,,,,,
08/06/2021,24/05/2020,81,,,,,,,
08/06/2021,25/05/2020,137,,,,,,,
08/06/2021,26/05/2020,103,,,,,,,
08/06/2021,27/05/2020,96,,,,,,,
08/06/2021,28/05/2020,76,,,,,,,
08/06/2021,29/05/2020,94,,,,,,,
08/06/2021,30/05/2020,79,,,,,,,
08/06/2021,31/05/2020,47,,,,,,,
08/06/2021,01/06/2020,97,,,,,,,
08/06/2021,02/06/2020,59,,,,,,,
08/06/2021,03/06/2020,79,,,,,,,
