iss_date,SESSO,AGE_GROUP,STATO_CLINICO,CASI,,,,,
08/06/2021,F,0-9,ASINTOMATICO,7123,,,,,
08/06/2021,F,0-9,CRITICO,66,,,,,
08/06/2021,F,0-9,LIEVE,1204,,,,,
08/06/2021,F,0-9,PAUCI-SINTOMATICO,1127,,,,,
08/06/2021,F,0-9,SEVERO,54,,,,,
08/06/2021,F,10-19,ASINTOMATICO,10950,,,,,
08/06/2021,F,10-19,CRITICO,222,,,,,
08/06/2021,F,10-19,LIEVE,2554,,,,,
08/06/2021,F,10-19,PAUCI-SINTOMATICO,2539,,,,,
08/06/2021,F,10-19,SEVERO,59,,,,,
08/06/2021,F,20-29,ASINTOMATICO,12351,,,,,
08/06/2021,F,20-29,CRITICO,265,,,,,
08/06/2021,F,20-29,LIEVE,3216,,,,,
08/06/2021,F,20-29,PAUCI-SINTOMATICO,3093,,,,,
08/06/2021,F,20-29,SEVERO,253,,,,,
08/06/2021,F,30-39,ASINTOMATICO,12934,,,,,
08/06/2021,F,30-39,CRITICO,302,,,,,
08/06/2021,F,30-39,LIEVE,3943,,,,,
08/06/2021,F,30-39,PAUCI-SINTOMATICO,3515,,,,,
08/06/2021,F,30-39,SEVERO,464,,,,,
08/06/2021,F,40-49,ASINTOMATICO,15539,,,,,
08/06/2021,F,40-49,CRITICO,521,,,,,
08/06/2021,F,40-49,LIEVE,5227,,,,,
08/06/2021,F,40-49,PAUCI-SINTOMATICO,4607,,,,,
08/06/2021,F,40-49,SEVERO,480,,,,,
08/06/2021,F,50-59,ASINTOMATICO,15921,,,,,
08/06/2021,F,50-59,CRITICO,629,,,,,
08/06/2021,F,50-59,LIEVE,5241,,,,,
08/06/2021,F,50-59,PAUCI-SINTOMATICO,4643,,,,,
08/06/2021,F,50-59,SEVERO,789,,,,,
08/06/2021,F,60-69,ASINTOMATICO,10194,,,,,
08/06/2021,F,60-69,CRITICO,520,,,,,
08/06/2021,F,60-69,LIEVE,3529,,,,,
08/06/2021,F,60-69,PAUCI-SINTOMATICO,3045,,,,,
08/06/2021,F,60-69,SEVERO,1071,,,,,
08/06/2021,F,70-79,ASINTOMATICO,7378,,,,,
08/06/2021,F,70-79,CRITICO,417,,,,,
08/06/2021,F,70-79,LIEVE,2563,,,,,
08/06/2021,F,70-79,PAUCI-SINTOMATICO,1983,,,,,
08/06/2021,F,70-79,SEVERO,1565,,,,,
08/06/2021,F,80-89,ASINTOMATICO,5936,,,,,
08/06/2021,F,80-89,CRITICO,199,,,,,
08/06/2021,F,80-89,LIEVE,1638,,,,,
08/06/2021,F,80-89,PAUCI-SINTOMATICO,1191,,,,,
08/06/2021,F,80-89,SEVERO,1761,,,,,
08/06/2021,F,>90,ASINTOMATICO,2483,,,,,
08/06/2021,F,>90,CRITICO,49,,,,,
08/06/2021,F,>90,LIEVE,607,,,,,
08/06/2021,F,>90,PAUCI-SINTOMATICO,443,,,,,
08/06/2021,F,>90,SEVERO,540,,,,,
08/06/2021,F,Non noto,ASINTOMATICO,19,,,,,
08/06/2021,F,Non noto,PAUCI-SINTOMATICO,<5,,,,,
08/06/2021,F,Non noto,SEVERO,<5,,,,,
08/06/2021,M,0-9,ASINTOMATICO,7668,,,,,
08/06/2021,M,0-9,CRITICO,63,,,,,
08/06/2021,M,0-9,LIEVE,1236,,,,,
08/06/2021,M,0-9,PAUCI-SINTOMATICO,1116,,,,,
08/06/2021,M,0-9,SEVERO,61,,,,,
08/06/2021,M,10-19,ASINTOMATICO,12194,,,,,
08/06/2021,M,10-19,CRITICO,233,,,,,
08/06/2021,M,10-19,LIEVE,2598,,,,,
08/06/2021,M,10-19,PAUCI-SINTOMATICO,2489,,,,,
08/06/2021,M,10-19,SEVERO,97,,,,,
08/06/2021,M,20-29,ASINTOMATICO,13392,,,,,
08/06/2021,M,20-29,CRITICO,290,,,,,
08/06/2021,M,20-29,LIEVE,3277,,,,,
08/06/2021,M,20-29,PAUCI-SINTOMATICO,3051,,,,,
08/06/2021,M,20-29,SEVERO,201,,,,,
08/06/2021,M,30-39,ASINTOMATICO,13205,,,,,
08/06/2021,M,30-39,CRITICO,275,,,,,
08/06/2021,M,30-39,LIEVE,3413,,,,,
08/06/2021,M,30-39,PAUCI-SINTOMATICO,3175,,,,,
