iss_date,DATA_INIZIO_SINTOMI,CASI_SINT
27/07/2021,28/01/2020,13
27/07/2021,29/01/2020,17
27/07/2021,30/01/2020,23
27/07/2021,31/01/2020,26
27/07/2021,01/02/2020,43
27/07/2021,02/02/2020,35
27/07/2021,03/02/2020,24
27/07/2021,04/02/2020,23
27/07/2021,05/02/2020,29
27/07/2021,06/02/2020,23
27/07/2021,07/02/2020,18
27/07/2021,08/02/2020,15
27/07/2021,09/02/2020,15
27/07/2021,10/02/2020,56
27/07/2021,11/02/2020,22
27/07/2021,12/02/2020,49
27/07/2021,13/02/2020,44
27/07/2021,14/02/2020,62
27/07/2021,15/02/2020,139
27/07/2021,16/02/2020,81
27/07/2021,17/02/2020,131
27/07/2021,18/02/2020,154
27/07/2021,19/02/2020,129
27/07/2021,20/02/2020,383
27/07/2021,21/02/2020,303
27/07/2021,22/02/2020,369
27/07/2021,23/02/2020,479
27/07/2021,24/02/2020,623
27/07/2021,25/02/2020,781
27/07/2021,26/02/2020,695
27/07/2021,27/02/2020,813
27/07/2021,28/02/2020,1148
27/07/2021,29/02/2020,1009
27/07/2021,01/03/2020,2268
27/07/2021,02/03/2020,1808
27/07/2021,03/03/2020,2046
27/07/2021,04/03/2020,1755
27/07/2021,05/03/2020,2388
27/07/2021,06/03/2020,2673
27/07/2021,07/03/2020,2857
27/07/2021,08/03/2020,3355
27/07/2021,09/03/2020,3949
27/07/2021,10/03/2020,5468
27/07/2021,11/03/2020,3724
27/07/2021,12/03/2020,4249
27/07/2021,13/03/2020,4741
27/07/2021,14/03/2020,4107
27/07/2021,15/03/2020,5226
27/07/2021,16/03/2020,4726
27/07/2021,17/03/2020,4044
27/07/2021,18/03/2020,4231
27/07/2021,19/03/2020,3770
27/07/2021,20/03/2020,5362
27/07/2021,21/03/2020,3322
27/07/2021,22/03/2020,3360
27/07/2021,23/03/2020,3823
27/07/2021,24/03/2020,3070
27/07/2021,25/03/2020,3257
27/07/2021,26/03/2020,2794
27/07/2021,27/03/2020,3018
27/07/2021,28/03/2020,2694
27/07/2021,29/03/2020,2100
27/07/2021,30/03/2020,3094
27/07/2021,31/03/2020,2160
27/07/2021,01/04/2020,3373
27/07/2021,02/04/2020,2173
27/07/2021,03/04/2020,2249
27/07/2021,04/04/2020,1882
27/07/2021,05/04/2020,1693
27/07/2021,06/04/2020,1969
27/07/2021,07/04/2020,1817
27/07/2021,08/04/2020,1807
27/07/2021,09/04/2020,1621
27/07/2021,10/04/2020,2193
27/07/2021,11/04/2020,1302
27/07/2021,12/04/2020,1442
27/07/2021,13/04/2020,1309
27/07/2021,14/04/2020,1558
27/07/2021,15/04/2020,1741
27/07/2021,16/04/2020,1378
27/07/2021,17/04/2020,1341
27/07/2021,18/04/2020,1121
27/07/2021,19/04/2020,890
27/07/2021,20/04/2020,1601
27/07/2021,21/04/2020,1013
27/07/2021,22/04/2020,1035
27/07/2021,23/04/2020,953
27/07/2021,24/04/2020,836
27/07/2021,25/04/2020,736
27/07/2021,26/04/2020,579
27/07/2021,27/04/2020,909
27/07/2021,28/04/2020,659
27/07/2021,29/04/2020,619
27/07/2021,30/04/2020,565
27/07/2021,01/05/2020,558
27/07/2021,02/05/2020,410
27/07/2021,03/05/2020,334
27/07/2021,04/05/2020,452
27/07/2021,05/05/2020,461
27/07/2021,06/05/2020,391
27/07/2021,07/05/2020,362
27/07/2021,08/05/2020,414
27/07/2021,09/05/2020,222
27/07/2021,10/05/2020,277
27/07/2021,11/05/2020,327
27/07/2021,12/05/2020,330
27/07/2021,13/05/2020,285
27/07/2021,14/05/2020,252
27/07/2021,15/05/2020,283
27/07/2021,16/05/2020,190
27/07/2021,17/05/2020,149
27/07/2021,18/05/2020,261
27/07/2021,19/05/2020,211
27/07/2021,20/05/2020,236
27/07/2021,21/05/2020,170
27/07/2021,22/05/2020,156
27/07/2021,23/05/2020,116
27/07/2021,24/05/2020,87
27/07/2021,25/05/2020,181
27/07/2021,26/05/2020,148
27/07/2021,27/05/2020,162
27/07/2021,28/05/2020,118
27/07/2021,29/05/2020,117
27/07/2021,30/05/2020,96
27/07/2021,31/05/2020,62
27/07/2021,01/06/2020,137
27/07/2021,02/06/2020,59
27/07/2021,03/06/2020,113
27/07/2021,04/06/2020,92
27/07/2021,05/06/2020,119
27/07/2021,06/06/2020,78
27/07/2021,07/06/2020,65
27/07/2021,08/06/2020,121
27/07/2021,09/06/2020,100
27/07/2021,10/06/2020,102
27/07/2021,11/06/2020,85
27/07/2021,12/06/2020,101
27/07/2021,13/06/2020,68
27/07/2021,14/06/2020,73
27/07/2021,15/06/2020,104
27/07/2021,16/06/2020,91
27/07/2021,17/06/2020,80
27/07/2021,18/06/2020,76
27/07/2021,19/06/2020,76
27/07/2021,20/06/2020,62
27/07/2021,21/06/2020,59
27/07/2021,22/06/2020,83
27/07/2021,23/06/2020,70
27/07/2021,24/06/2020,92
27/07/2021,25/06/2020,77
27/07/2021,26/06/2020,85
27/07/2021,27/06/2020,63
27/07/2021,28/06/2020,54
27/07/2021,29/06/2020,87
27/07/2021,30/06/2020,67
27/07/2021,01/07/2020,107
27/07/2021,02/07/2020,80
27/07/2021,03/07/2020,66
27/07/2021,04/07/2020,67
27/07/2021,05/07/2020,60
27/07/2021,06/07/2020,94
27/07/2021,07/07/2020,98
27/07/2021,08/07/2020,100
27/07/2021,09/07/2020,80
27/07/2021,10/07/2020,108
27/07/2021,11/07/2020,82
27/07/2021,12/07/2020,72
27/07/2021,13/07/2020,98
27/07/2021,14/07/2020,108
27/07/2021,15/07/2020,98
27/07/2021,16/07/2020,86
27/07/2021,17/07/2020,98
27/07/2021,18/07/2020,91
27/07/2021,19/07/2020,88
27/07/2021,20/07/2020,137
27/07/2021,21/07/2020,119
27/07/2021,22/07/2020,114
27/07/2021,23/07/2020,128
27/07/2021,24/07/2020,112
27/07/2021,25/07/2020,125
27/07/2021,26/07/2020,97
27/07/2021,27/07/2020,129
27/07/2021,28/07/2020,134
27/07/2021,29/07/2020,131
27/07/2021,30/07/2020,118
27/07/2021,31/07/2020,118
27/07/2021,01/08/2020,158
27/07/2021,02/08/2020,121
27/07/2021,03/08/2020,206
27/07/2021,04/08/2020,186
27/07/2021,05/08/2020,206
27/07/2021,06/08/2020,207
27/07/2021,07/08/2020,196
27/07/2021,08/08/2020,244
27/07/2021,09/08/2020,203
