iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
27/07/2021,F,0-9,7,114598
27/07/2021,F,10-19,7,203939
27/07/2021,F,20-29,25,255756
27/07/2021,F,30-39,96,276177
27/07/2021,F,40-49,338,361897
27/07/2021,F,50-59,1272,379741
27/07/2021,F,60-69,3612,226982
27/07/2021,F,70-79,10373,168688
27/07/2021,F,80-89,23439,150878
27/07/2021,F,>90,16119,66697
27/07/2021,F,Non noto,<5,54
27/07/2021,M,0-9,7,122793
27/07/2021,M,10-19,9,222660
27/07/2021,M,20-29,43,266611
27/07/2021,M,30-39,162,264388
27/07/2021,M,40-49,789,329433
27/07/2021,M,50-59,3262,365632
27/07/2021,M,60-69,9500,245251
27/07/2021,M,70-79,21714,173929
27/07/2021,M,80-89,27854,104534
27/07/2021,M,>90,8514,21358
27/07/2021,M,Non noto,<5,47
27/07/2021,Non noto,20-29,<5,<5
27/07/2021,Non noto,30-39,<5,<5
27/07/2021,Non noto,40-49,<5,<5
27/07/2021,Non noto,50-59,<5,<5
27/07/2021,Non noto,60-69,<5,<5
27/07/2021,Non noto,80-89,<5,7
