iss_date,NOME_NUTS2,CASI_CUMULATIVI
17/11/2021,Abruzzo,85126
17/11/2021,Basilicata,30711
17/11/2021,Calabria,89484
17/11/2021,Campania,479123
17/11/2021,Emilia-Romagna,440733
17/11/2021,Friuli-Venezia Giulia,121676
17/11/2021,Lazio,417291
17/11/2021,Liguria,117827
17/11/2021,Lombardia,908118
17/11/2021,Marche,118643
17/11/2021,Molise,14877
17/11/2021,Piemonte,392372
17/11/2021,Provincia Autonoma di Bolzano/Bozen,73733
17/11/2021,Provincia Autonoma di Trento,51406
17/11/2021,Puglia,276501
17/11/2021,Sardegna,77606
17/11/2021,Sicilia,319694
17/11/2021,Toscana,295508
17/11/2021,Umbria,67047
17/11/2021,Valle d'Aosta/Vallée d'Aoste,12489
17/11/2021,Veneto,495045
