iss_date,SESSO,AGE_GROUP,STATO_CLINICO,CASI
17/11/2021,F,0-9,ASINTOMATICO,5150
17/11/2021,F,0-9,CRITICO,<5
17/11/2021,F,0-9,LIEVE,1882
17/11/2021,F,0-9,PAUCI-SINTOMATICO,1948
17/11/2021,F,0-9,SEVERO,15
17/11/2021,F,10-19,ASINTOMATICO,6909
17/11/2021,F,10-19,CRITICO,<5
17/11/2021,F,10-19,LIEVE,3068
17/11/2021,F,10-19,PAUCI-SINTOMATICO,3106
17/11/2021,F,10-19,SEVERO,20
17/11/2021,F,20-29,ASINTOMATICO,5989
17/11/2021,F,20-29,CRITICO,<5
17/11/2021,F,20-29,LIEVE,3009
17/11/2021,F,20-29,PAUCI-SINTOMATICO,3124
17/11/2021,F,20-29,SEVERO,55
17/11/2021,F,30-39,ASINTOMATICO,6697
17/11/2021,F,30-39,CRITICO,8
17/11/2021,F,30-39,LIEVE,3892
17/11/2021,F,30-39,PAUCI-SINTOMATICO,3621
17/11/2021,F,30-39,SEVERO,117
17/11/2021,F,40-49,ASINTOMATICO,8181
17/11/2021,F,40-49,CRITICO,34
17/11/2021,F,40-49,LIEVE,5057
17/11/2021,F,40-49,PAUCI-SINTOMATICO,4787
17/11/2021,F,40-49,SEVERO,163
17/11/2021,F,50-59,ASINTOMATICO,8021
17/11/2021,F,50-59,CRITICO,55
17/11/2021,F,50-59,LIEVE,4646
17/11/2021,F,50-59,PAUCI-SINTOMATICO,3965
17/11/2021,F,50-59,SEVERO,270
17/11/2021,F,60-69,ASINTOMATICO,4980
17/11/2021,F,60-69,CRITICO,105
17/11/2021,F,60-69,LIEVE,2936
17/11/2021,F,60-69,PAUCI-SINTOMATICO,2586
17/11/2021,F,60-69,SEVERO,366
17/11/2021,F,70-79,ASINTOMATICO,3991
17/11/2021,F,70-79,CRITICO,109
17/11/2021,F,70-79,LIEVE,2095
17/11/2021,F,70-79,PAUCI-SINTOMATICO,1799
17/11/2021,F,70-79,SEVERO,477
17/11/2021,F,80-89,ASINTOMATICO,3828
17/11/2021,F,80-89,CRITICO,56
17/11/2021,F,80-89,LIEVE,1338
17/11/2021,F,80-89,PAUCI-SINTOMATICO,1134
17/11/2021,F,80-89,SEVERO,564
17/11/2021,F,>90,ASINTOMATICO,1799
17/11/2021,F,>90,CRITICO,16
17/11/2021,F,>90,LIEVE,491
17/11/2021,F,>90,PAUCI-SINTOMATICO,428
17/11/2021,F,>90,SEVERO,232
17/11/2021,F,Non noto,ASINTOMATICO,<5
17/11/2021,F,Non noto,PAUCI-SINTOMATICO,<5
17/11/2021,M,0-9,ASINTOMATICO,5452
17/11/2021,M,0-9,CRITICO,<5
17/11/2021,M,0-9,LIEVE,1935
17/11/2021,M,0-9,PAUCI-SINTOMATICO,2054
17/11/2021,M,0-9,SEVERO,37
17/11/2021,M,10-19,ASINTOMATICO,7608
17/11/2021,M,10-19,CRITICO,<5
17/11/2021,M,10-19,LIEVE,3073
17/11/2021,M,10-19,PAUCI-SINTOMATICO,3265
17/11/2021,M,10-19,SEVERO,37
17/11/2021,M,20-29,ASINTOMATICO,6800
17/11/2021,M,20-29,CRITICO,<5
17/11/2021,M,20-29,LIEVE,3004
17/11/2021,M,20-29,PAUCI-SINTOMATICO,2950
17/11/2021,M,20-29,SEVERO,61
17/11/2021,M,30-39,ASINTOMATICO,6411
17/11/2021,M,30-39,CRITICO,21
17/11/2021,M,30-39,LIEVE,3076
17/11/2021,M,30-39,PAUCI-SINTOMATICO,2888
17/11/2021,M,30-39,SEVERO,123
17/11/2021,M,40-49,ASINTOMATICO,7710
17/11/2021,M,40-49,CRITICO,68
17/11/2021,M,40-49,LIEVE,4152
17/11/2021,M,40-49,PAUCI-SINTOMATICO,3678
17/11/2021,M,40-49,SEVERO,266
17/11/2021,M,50-59,ASINTOMATICO,7591
17/11/2021,M,50-59,CRITICO,126
17/11/2021,M,50-59,LIEVE,3962
17/11/2021,M,50-59,PAUCI-SINTOMATICO,3508
17/11/2021,M,50-59,SEVERO,451
17/11/2021,M,60-69,ASINTOMATICO,5345
17/11/2021,M,60-69,CRITICO,181
17/11/2021,M,60-69,LIEVE,2778
17/11/2021,M,60-69,PAUCI-SINTOMATICO,2287
17/11/2021,M,60-69,SEVERO,496
17/11/2021,M,70-79,ASINTOMATICO,4002
17/11/2021,M,70-79,CRITICO,165
17/11/2021,M,70-79,LIEVE,2010
17/11/2021,M,70-79,PAUCI-SINTOMATICO,1565
17/11/2021,M,70-79,SEVERO,659
17/11/2021,M,80-89,ASINTOMATICO,2470
17/11/2021,M,80-89,CRITICO,88
17/11/2021,M,80-89,LIEVE,1080
17/11/2021,M,80-89,PAUCI-SINTOMATICO,815
17/11/2021,M,80-89,SEVERO,584
17/11/2021,M,>90,ASINTOMATICO,578
17/11/2021,M,>90,CRITICO,11
17/11/2021,M,>90,LIEVE,216
17/11/2021,M,>90,PAUCI-SINTOMATICO,155
17/11/2021,M,>90,SEVERO,135
17/11/2021,M,Non noto,ASINTOMATICO,7
