DATA_INIZIO_SINTOMI,CASI,iss_date
01/01/2021,9565,22/08/2022
01/01/2022,45861,22/08/2022
01/02/2020,53,22/08/2022
01/02/2021,7925,22/08/2022
01/02/2022,31149,22/08/2022
01/03/2020,2479,22/08/2022
01/03/2021,14984,22/08/2022
01/03/2022,14555,22/08/2022
01/04/2020,4119,22/08/2022
01/04/2021,10059,22/08/2022
01/04/2022,20561,22/08/2022
01/05/2020,701,22/08/2022
01/05/2021,5092,22/08/2022
01/05/2022,12375,22/08/2022
01/06/2020,173,22/08/2022
01/06/2021,1253,22/08/2022
01/06/2022,5921,22/08/2022
01/07/2020,118,22/08/2022
01/07/2021,637,22/08/2022
01/07/2022,22749,22/08/2022
01/08/2020,161,22/08/2022
01/08/2021,3605,22/08/2022
01/08/2022,16682,22/08/2022
01/09/2020,748,22/08/2022
01/09/2021,3617,22/08/2022
01/10/2020,2347,22/08/2022
01/10/2021,1843,22/08/2022
01/11/2020,17729,22/08/2022
01/11/2021,3837,22/08/2022
01/12/2020,10542,22/08/2022
01/12/2021,10127,22/08/2022
02/01/2021,9734,22/08/2022
02/01/2022,46939,22/08/2022
02/02/2020,42,22/08/2022
02/02/2021,6580,22/08/2022
02/02/2022,28163,22/08/2022
02/03/2020,1943,22/08/2022
02/03/2021,12565,22/08/2022
02/03/2022,14797,22/08/2022
02/04/2020,2716,22/08/2022
02/04/2021,8786,22/08/2022
02/04/2022,17767,22/08/2022
02/05/2020,509,22/08/2022
02/05/2021,4319,22/08/2022
02/05/2022,17193,22/08/2022
02/06/2020,66,22/08/2022
02/06/2021,1141,22/08/2022
02/06/2022,4515,22/08/2022
02/07/2020,90,22/08/2022
02/07/2021,565,22/08/2022
02/07/2022,19340,22/08/2022
02/08/2020,127,22/08/2022
02/08/2021,4191,22/08/2022
02/08/2022,12458,22/08/2022
02/09/2020,650,22/08/2022
02/09/2021,2975,22/08/2022
02/10/2020,2279,22/08/2022
02/10/2021,1598,22/08/2022
02/11/2020,20932,22/08/2022
02/11/2021,4148,22/08/2022
02/12/2020,9153,22/08/2022
02/12/2021,8675,22/08/2022
03/01/2021,8619,22/08/2022
03/01/2022,69287,22/08/2022
03/02/2020,25,22/08/2022
03/02/2021,6562,22/08/2022
03/02/2022,24678,22/08/2022
03/03/2020,2241,22/08/2022
03/03/2021,12643,22/08/2022
03/03/2022,14194,22/08/2022
03/04/2020,2724,22/08/2022
03/04/2021,7438,22/08/2022
03/04/2022,16163,22/08/2022
