NOME_NUTS2,CASI_CUMULATIVI,iss_date
Abruzzo,531400,22/08/2022
Basilicata,179862,22/08/2022
Calabria,483714,22/08/2022
Campania,2164822,22/08/2022
Emilia-Romagna,1805782,22/08/2022
Friuli-Venezia Giulia,460165,22/08/2022
Lazio,2087233,22/08/2022
Liguria,555705,22/08/2022
Lombardia,3443340,22/08/2022
Marche,563219,22/08/2022
Molise,85930,22/08/2022
Piemonte,1400160,22/08/2022
Provincia Autonoma di Bolzano/Bozen,253261,22/08/2022
Provincia Autonoma di Trento,202172,22/08/2022
Puglia,1441414,22/08/2022
Sardegna,449392,22/08/2022
Sicilia,1657115,22/08/2022
Toscana,1449018,22/08/2022
Umbria,369900,22/08/2022
Valle d'Aosta/Vallée d'Aoste,43700,22/08/2022
Veneto,2166905,22/08/2022
