DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
01/01/2021,5867,25/08/2022
01/01/2022,37055,25/08/2022
01/02/2021,13479,25/08/2022
01/02/2022,114718,25/08/2022
01/03/2020,410,25/08/2022
01/03/2021,22073,25/08/2022
01/03/2022,36739,25/08/2022
01/04/2020,5025,25/08/2022
01/04/2021,21708,25/08/2022
01/04/2022,72175,25/08/2022
01/05/2020,1084,25/08/2022
01/05/2021,6131,25/08/2022
01/05/2022,15394,25/08/2022
01/06/2020,377,25/08/2022
01/06/2021,3163,25/08/2022
01/06/2022,19488,25/08/2022
01/07/2020,237,25/08/2022
01/07/2021,915,25/08/2022
01/07/2022,89021,25/08/2022
01/08/2020,202,25/08/2022
01/08/2021,2401,25/08/2022
01/08/2022,68705,25/08/2022
01/09/2020,1430,25/08/2022
01/09/2021,6619,25/08/2022
01/10/2020,3058,25/08/2022
01/10/2021,3167,25/08/2022
01/11/2020,13866,25/08/2022
01/11/2021,2879,25/08/2022
01/12/2020,23248,25/08/2022
01/12/2021,16269,25/08/2022
02/01/2021,16277,25/08/2022
02/01/2022,68560,25/08/2022
02/02/2021,14004,25/08/2022
02/02/2022,106960,25/08/2022
02/03/2020,630,25/08/2022
02/03/2021,23223,25/08/2022
02/03/2022,43182,25/08/2022
02/04/2020,4778,25/08/2022
02/04/2021,20561,25/08/2022
02/04/2022,55689,25/08/2022
02/05/2020,1022,25/08/2022
02/05/2021,4632,25/08/2022
02/05/2022,69492,25/08/2022
02/06/2020,87,25/08/2022
02/06/2021,1260,25/08/2022
02/06/2022,6909,25/08/2022
02/07/2020,250,25/08/2022
02/07/2021,994,25/08/2022
02/07/2022,72240,25/08/2022
02/08/2020,107,25/08/2022
02/08/2021,6667,25/08/2022
02/08/2022,44150,25/08/2022
02/09/2020,1625,25/08/2022
02/09/2021,6206,25/08/2022
02/10/2020,3340,25/08/2022
02/10/2021,2712,25/08/2022
02/11/2020,35426,25/08/2022
02/11/2021,6497,25/08/2022
02/12/2020,21655,25/08/2022
02/12/2021,17050,25/08/2022
03/01/2021,8411,25/08/2022
03/01/2022,229108,25/08/2022
03/02/2021,13395,25/08/2022
03/02/2022,94011,25/08/2022
03/03/2020,802,25/08/2022
03/03/2021,24021,25/08/2022
03/03/2022,40612,25/08/2022
03/04/2020,4445,25/08/2022
03/04/2021,15580,25/08/2022
03/04/2022,25934,25/08/2022
03/05/2020,506,25/08/2022
03/05/2021,11509,25/08/2022
03/05/2022,47215,25/08/2022
03/06/2020,358,25/08/2022
03/06/2021,2747,25/08/2022
03/06/2022,24520,25/08/2022
03/07/2020,244,25/08/2022
03/07/2021,832,25/08/2022
03/07/2022,33553,25/08/2022
03/08/2020,422,25/08/2022
03/08/2021,7137,25/08/2022
03/08/2022,41545,25/08/2022
03/09/2020,1609,25/08/2022
03/09/2021,6269,25/08/2022
03/10/2020,2618,25/08/2022
03/10/2021,1075,25/08/2022
03/11/2020,38437,25/08/2022
03/11/2021,6675,25/08/2022
03/12/2020,20261,25/08/2022
03/12/2021,17528,25/08/2022
04/01/2021,23024,25/08/2022
04/01/2022,218133,25/08/2022
04/02/2021,13339,25/08/2022
04/02/2022,91322,25/08/2022
04/03/2020,1076,25/08/2022
04/03/2021,22900,25/08/2022
04/03/2022,42980,25/08/2022
04/04/2020,3666,25/08/2022
04/04/2021,5672,25/08/2022
04/04/2022,96601,25/08/2022
04/05/2020,1455,25/08/2022
04/05/2021,11419,25/08/2022
04/05/2022,47108,25/08/2022
04/06/2020,361,25/08/2022
04/06/2021,2985,25/08/2022
04/06/2022,15494,25/08/2022
04/07/2020,225,25/08/2022
04/07/2021,405,25/08/2022
04/07/2022,146883,25/08/2022
04/08/2020,394,25/08/2022
04/08/2021,7167,25/08/2022
04/08/2022,36861,25/08/2022
04/09/2020,1651,25/08/2022
04/09/2021,4646,25/08/2022
04/10/2020,1763,25/08/2022
04/10/2021,3131,25/08/2022
04/11/2020,41731,25/08/2022
04/11/2021,7204,25/08/2022
04/12/2020,20510,25/08/2022
04/12/2021,14605,25/08/2022
05/01/2021,24937,25/08/2022
05/01/2022,220176,25/08/2022
05/02/2021,13659,25/08/2022
05/02/2022,73797,25/08/2022
05/03/2020,1302,25/08/2022
05/03/2021,24405,25/08/2022
05/03/2022,37873,25/08/2022
05/04/2020,2600,25/08/2022
05/04/2021,7261,25/08/2022
05/04/2022,69658,25/08/2022
05/05/2020,1537,25/08/2022
05/05/2021,10808,25/08/2022
05/05/2022,43852,25/08/2022
05/06/2020,385,25/08/2022
05/06/2021,2079,25/08/2022
05/06/2022,8110,25/08/2022
