DATA_DECESSO,DECESSI,iss_date
01/01/2021,457,25/08/2022
01/01/2022,178,25/08/2022
01/02/2021,355,25/08/2022
01/02/2022,384,25/08/2022
01/03/2020,25,25/08/2022
01/03/2021,323,25/08/2022
01/03/2022,179,25/08/2022
01/04/2020,710,25/08/2022
01/04/2021,450,25/08/2022
01/04/2022,141,25/08/2022
01/05/2020,259,25/08/2022
01/05/2021,207,25/08/2022
01/05/2022,101,25/08/2022
01/06/2020,62,25/08/2022
01/06/2021,60,25/08/2022
01/06/2022,50,25/08/2022
01/07/2020,15,25/08/2022
01/07/2021,14,25/08/2022
01/07/2022,63,25/08/2022
01/08/2020,<5,25/08/2022
01/08/2021,15,25/08/2022
01/08/2022,136,25/08/2022
01/09/2020,9,25/08/2022
01/09/2021,52,25/08/2022
01/10/2020,26,25/08/2022
01/10/2021,32,25/08/2022
01/11/2020,361,25/08/2022
01/11/2021,32,25/08/2022
01/12/2020,655,25/08/2022
01/12/2021,81,25/08/2022
02/01/2021,431,25/08/2022
02/01/2022,168,25/08/2022
02/02/2021,402,25/08/2022
02/02/2022,351,25/08/2022
02/03/2020,25,25/08/2022
02/03/2021,321,25/08/2022
02/03/2022,169,25/08/2022
02/04/2020,683,25/08/2022
02/04/2021,444,25/08/2022
02/04/2022,125,25/08/2022
02/05/2020,253,25/08/2022
02/05/2021,226,25/08/2022
02/05/2022,108,25/08/2022
02/06/2020,56,25/08/2022
02/06/2021,41,25/08/2022
02/06/2022,38,25/08/2022
02/07/2020,15,25/08/2022
02/07/2021,11,25/08/2022
02/07/2022,63,25/08/2022
02/08/2020,<5,25/08/2022
02/08/2021,21,25/08/2022
02/08/2022,134,25/08/2022
02/09/2020,11,25/08/2022
02/09/2021,49,25/08/2022
02/10/2020,30,25/08/2022
02/10/2021,39,25/08/2022
02/11/2020,449,25/08/2022
02/11/2021,52,25/08/2022
02/12/2020,719,25/08/2022
02/12/2021,64,25/08/2022
03/01/2021,421,25/08/2022
03/01/2022,207,25/08/2022
03/02/2021,368,25/08/2022
03/02/2022,360,25/08/2022
03/03/2020,56,25/08/2022
03/03/2021,326,25/08/2022
03/03/2022,169,25/08/2022
03/04/2020,673,25/08/2022
03/04/2021,449,25/08/2022
03/04/2022,123,25/08/2022
03/05/2020,243,25/08/2022
03/05/2021,226,25/08/2022
03/05/2022,123,25/08/2022
03/06/2020,50,25/08/2022
03/06/2021,72,25/08/2022
03/06/2022,54,25/08/2022
03/07/2020,16,25/08/2022
03/07/2021,15,25/08/2022
03/07/2022,61,25/08/2022
03/08/2020,6,25/08/2022
03/08/2021,19,25/08/2022
03/08/2022,133,25/08/2022
03/09/2020,11,25/08/2022
03/09/2021,67,25/08/2022
03/10/2020,17,25/08/2022
03/10/2021,34,25/08/2022
03/11/2020,431,25/08/2022
03/11/2021,57,25/08/2022
03/12/2020,660,25/08/2022
03/12/2021,86,25/08/2022
04/01/2021,507,25/08/2022
04/01/2022,231,25/08/2022
04/02/2021,335,25/08/2022
04/02/2022,334,25/08/2022
04/03/2020,56,25/08/2022
04/03/2021,314,25/08/2022
04/03/2022,160,25/08/2022
04/04/2020,632,25/08/2022
04/04/2021,385,25/08/2022
04/04/2022,144,25/08/2022
04/05/2020,219,25/08/2022
04/05/2021,262,25/08/2022
04/05/2022,97,25/08/2022
04/06/2020,60,25/08/2022
04/06/2021,49,25/08/2022
04/06/2022,60,25/08/2022
04/07/2020,7,25/08/2022
04/07/2021,11,25/08/2022
04/07/2022,90,25/08/2022
04/08/2020,<5,25/08/2022
04/08/2021,24,25/08/2022
04/08/2022,122,25/08/2022
