DATARICOVERO1,RICOVERI,iss_date
01/01/2021,1153,25/08/2022
01/01/2022,1272,25/08/2022
01/02/2021,1063,25/08/2022
01/02/2022,1354,25/08/2022
01/03/2020,440,25/08/2022
01/03/2021,1454,25/08/2022
01/03/2022,640,25/08/2022
01/04/2020,1521,25/08/2022
01/04/2021,1723,25/08/2022
01/04/2022,765,25/08/2022
01/05/2020,288,25/08/2022
01/05/2021,742,25/08/2022
01/05/2022,487,25/08/2022
01/06/2020,138,25/08/2022
01/06/2021,223,25/08/2022
01/06/2022,324,25/08/2022
01/07/2020,67,25/08/2022
01/07/2021,72,25/08/2022
01/07/2022,910,25/08/2022
01/08/2020,70,25/08/2022
01/08/2021,236,25/08/2022
01/08/2022,720,25/08/2022
01/09/2020,159,25/08/2022
01/09/2021,350,25/08/2022
01/10/2020,351,25/08/2022
01/10/2021,199,25/08/2022
01/11/2020,1929,25/08/2022
01/11/2021,225,25/08/2022
01/12/2020,1619,25/08/2022
01/12/2021,473,25/08/2022
02/01/2021,1416,25/08/2022
02/01/2022,1169,25/08/2022
02/02/2021,985,25/08/2022
02/02/2022,1397,25/08/2022
02/03/2020,669,25/08/2022
02/03/2021,1638,25/08/2022
02/03/2022,605,25/08/2022
02/04/2020,1470,25/08/2022
02/04/2021,1822,25/08/2022
02/04/2022,665,25/08/2022
02/05/2020,250,25/08/2022
02/05/2021,666,25/08/2022
02/05/2022,668,25/08/2022
02/06/2020,71,25/08/2022
02/06/2021,175,25/08/2022
02/06/2022,245,25/08/2022
02/07/2020,80,25/08/2022
02/07/2021,55,25/08/2022
02/07/2022,795,25/08/2022
02/08/2020,55,25/08/2022
02/08/2021,272,25/08/2022
02/08/2022,698,25/08/2022
02/09/2020,188,25/08/2022
02/09/2021,373,25/08/2022
02/10/2020,365,25/08/2022
02/10/2021,173,25/08/2022
02/11/2020,2440,25/08/2022
02/11/2021,292,25/08/2022
02/12/2020,1618,25/08/2022
02/12/2021,548,25/08/2022
03/01/2021,1215,25/08/2022
03/01/2022,1631,25/08/2022
03/02/2021,982,25/08/2022
03/02/2022,1266,25/08/2022
03/03/2020,815,25/08/2022
03/03/2021,1622,25/08/2022
03/03/2022,640,25/08/2022
03/04/2020,1278,25/08/2022
03/04/2021,1607,25/08/2022
03/04/2022,550,25/08/2022
03/05/2020,189,25/08/2022
03/05/2021,854,25/08/2022
