SESSO,AGE_GROUP,STATO_CLINICO,CASI,iss_date
F,0-9,ASINTOMATICO,42444,25/08/2022
F,0-9,CRITICO,8,25/08/2022
F,0-9,LIEVE,4414,25/08/2022
F,0-9,PAUCI-SINTOMATICO,6372,25/08/2022
F,0-9,SEVERO,90,25/08/2022
F,10-19,ASINTOMATICO,55635,25/08/2022
F,10-19,CRITICO,<5,25/08/2022
F,10-19,LIEVE,4861,25/08/2022
F,10-19,PAUCI-SINTOMATICO,7829,25/08/2022
F,10-19,SEVERO,37,25/08/2022
F,20-29,ASINTOMATICO,62060,25/08/2022
F,20-29,CRITICO,9,25/08/2022
F,20-29,LIEVE,6262,25/08/2022
F,20-29,PAUCI-SINTOMATICO,9512,25/08/2022
F,20-29,SEVERO,122,25/08/2022
F,30-39,ASINTOMATICO,75859,25/08/2022
F,30-39,CRITICO,15,25/08/2022
F,30-39,LIEVE,8017,25/08/2022
F,30-39,PAUCI-SINTOMATICO,11597,25/08/2022
F,30-39,SEVERO,152,25/08/2022
F,40-49,ASINTOMATICO,85458,25/08/2022
F,40-49,CRITICO,24,25/08/2022
F,40-49,LIEVE,9890,25/08/2022
F,40-49,PAUCI-SINTOMATICO,14157,25/08/2022
F,40-49,SEVERO,127,25/08/2022
F,50-59,ASINTOMATICO,94038,25/08/2022
F,50-59,CRITICO,50,25/08/2022
F,50-59,LIEVE,10703,25/08/2022
F,50-59,PAUCI-SINTOMATICO,17224,25/08/2022
F,50-59,SEVERO,273,25/08/2022
F,60-69,ASINTOMATICO,71636,25/08/2022
F,60-69,CRITICO,94,25/08/2022
F,60-69,LIEVE,6763,25/08/2022
F,60-69,PAUCI-SINTOMATICO,12043,25/08/2022
F,60-69,SEVERO,372,25/08/2022
F,70-79,ASINTOMATICO,51796,25/08/2022
F,70-79,CRITICO,102,25/08/2022
F,70-79,LIEVE,5174,25/08/2022
F,70-79,PAUCI-SINTOMATICO,8867,25/08/2022
F,70-79,SEVERO,658,25/08/2022
F,80-89,ASINTOMATICO,32317,25/08/2022
F,80-89,CRITICO,76,25/08/2022
F,80-89,LIEVE,4232,25/08/2022
F,80-89,PAUCI-SINTOMATICO,5899,25/08/2022
F,80-89,SEVERO,1116,25/08/2022
F,>90,ASINTOMATICO,10505,25/08/2022
F,>90,CRITICO,25,25/08/2022
F,>90,LIEVE,1532,25/08/2022
F,>90,PAUCI-SINTOMATICO,1960,25/08/2022
F,>90,SEVERO,517,25/08/2022
F,Non noto,ASINTOMATICO,11,25/08/2022
F,Non noto,PAUCI-SINTOMATICO,<5,25/08/2022
M,0-9,ASINTOMATICO,45741,25/08/2022
M,0-9,CRITICO,8,25/08/2022
M,0-9,LIEVE,4810,25/08/2022
M,0-9,PAUCI-SINTOMATICO,6882,25/08/2022
M,0-9,SEVERO,127,25/08/2022
M,10-19,ASINTOMATICO,54673,25/08/2022
M,10-19,CRITICO,6,25/08/2022
M,10-19,LIEVE,4786,25/08/2022
M,10-19,PAUCI-SINTOMATICO,7433,25/08/2022
M,10-19,SEVERO,45,25/08/2022
M,20-29,ASINTOMATICO,55563,25/08/2022
M,20-29,CRITICO,8,25/08/2022
M,20-29,LIEVE,5283,25/08/2022
M,20-29,PAUCI-SINTOMATICO,8039,25/08/2022
M,20-29,SEVERO,48,25/08/2022
M,30-39,ASINTOMATICO,64372,25/08/2022
M,30-39,CRITICO,20,25/08/2022
M,30-39,LIEVE,6216,25/08/2022
M,30-39,PAUCI-SINTOMATICO,9105,25/08/2022
M,30-39,SEVERO,86,25/08/2022
M,40-49,ASINTOMATICO,72029,25/08/2022
M,40-49,CRITICO,43,25/08/2022
M,40-49,LIEVE,7654,25/08/2022
M,40-49,PAUCI-SINTOMATICO,10923,25/08/2022
M,40-49,SEVERO,198,25/08/2022
M,50-59,ASINTOMATICO,78474,25/08/2022
M,50-59,CRITICO,108,25/08/2022
M,50-59,LIEVE,8518,25/08/2022
M,50-59,PAUCI-SINTOMATICO,13497,25/08/2022
M,50-59,SEVERO,395,25/08/2022
M,60-69,ASINTOMATICO,61317,25/08/2022
M,60-69,CRITICO,145,25/08/2022
M,60-69,LIEVE,6137,25/08/2022
M,60-69,PAUCI-SINTOMATICO,9508,25/08/2022
M,60-69,SEVERO,503,25/08/2022
M,70-79,ASINTOMATICO,46885,25/08/2022
M,70-79,CRITICO,169,25/08/2022
M,70-79,LIEVE,4827,25/08/2022
M,70-79,PAUCI-SINTOMATICO,7699,25/08/2022
M,70-79,SEVERO,883,25/08/2022
M,80-89,ASINTOMATICO,25067,25/08/2022
M,80-89,CRITICO,111,25/08/2022
M,80-89,LIEVE,3268,25/08/2022
M,80-89,PAUCI-SINTOMATICO,4260,25/08/2022
M,80-89,SEVERO,1068,25/08/2022
M,>90,ASINTOMATICO,4588,25/08/2022
M,>90,CRITICO,18,25/08/2022
M,>90,LIEVE,754,25/08/2022
M,>90,PAUCI-SINTOMATICO,844,25/08/2022
M,>90,SEVERO,296,25/08/2022
M,Non noto,ASINTOMATICO,35,25/08/2022
M,Non noto,LIEVE,<5,25/08/2022
F,Non noto,LIEVE,<5,25/08/2022
