SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI,iss_date
F,0-9,19,939321,05/10/2022
F,10-19,16,1328042,05/10/2022
F,20-29,49,1359194,05/10/2022
F,30-39,170,1664866,05/10/2022
F,40-49,541,2014187,05/10/2022
F,50-59,1858,1950096,05/10/2022
F,60-69,5126,1258657,05/10/2022
F,70-79,14293,871935,05/10/2022
F,80-89,32256,555180,05/10/2022
F,>90,22626,187662,05/10/2022
F,Non noto,<5,600,05/10/2022
M,0-9,20,1006172,05/10/2022
M,10-19,18,1330959,05/10/2022
M,20-29,85,1238646,05/10/2022
M,30-39,280,1388528,05/10/2022
M,40-49,1112,1660126,05/10/2022
M,50-59,4369,1659656,05/10/2022
M,60-69,12241,1106644,05/10/2022
M,70-79,27960,800296,05/10/2022
M,80-89,37693,418729,05/10/2022
M,>90,12873,72453,05/10/2022
M,Non noto,<5,511,05/10/2022
Non noto,20-29,<5,<5,05/10/2022
Non noto,30-39,<5,<5,05/10/2022
Non noto,40-49,<5,<5,05/10/2022
Non noto,50-59,<5,<5,05/10/2022
Non noto,60-69,<5,<5,05/10/2022
Non noto,80-89,<5,7,05/10/2022
