iss_date,DATA_INIZIO_SINTOMI,CASI_SINT
11/06/2021,28/01/2020,13
11/06/2021,29/01/2020,17
11/06/2021,30/01/2020,22
11/06/2021,31/01/2020,26
11/06/2021,01/02/2020,43
11/06/2021,02/02/2020,35
11/06/2021,03/02/2020,24
11/06/2021,04/02/2020,23
11/06/2021,05/02/2020,29
11/06/2021,06/02/2020,23
11/06/2021,07/02/2020,18
11/06/2021,08/02/2020,15
11/06/2021,09/02/2020,14
11/06/2021,10/02/2020,56
11/06/2021,11/02/2020,22
11/06/2021,12/02/2020,49
11/06/2021,13/02/2020,44
11/06/2021,14/02/2020,62
11/06/2021,15/02/2020,139
11/06/2021,16/02/2020,81
11/06/2021,17/02/2020,129
11/06/2021,18/02/2020,154
11/06/2021,19/02/2020,129
11/06/2021,20/02/2020,385
11/06/2021,21/02/2020,303
11/06/2021,22/02/2020,371
11/06/2021,23/02/2020,479
11/06/2021,24/02/2020,621
11/06/2021,25/02/2020,783
11/06/2021,26/02/2020,697
11/06/2021,27/02/2020,810
11/06/2021,28/02/2020,1149
11/06/2021,29/02/2020,1007
11/06/2021,01/03/2020,2269
11/06/2021,02/03/2020,1812
11/06/2021,03/03/2020,2044
11/06/2021,04/03/2020,1753
11/06/2021,05/03/2020,2391
11/06/2021,06/03/2020,2670
11/06/2021,07/03/2020,2857
11/06/2021,08/03/2020,3346
11/06/2021,09/03/2020,3955
11/06/2021,10/03/2020,5478
11/06/2021,11/03/2020,3731
11/06/2021,12/03/2020,4245
11/06/2021,13/03/2020,4732
11/06/2021,14/03/2020,4109
11/06/2021,15/03/2020,5212
11/06/2021,16/03/2020,4723
11/06/2021,17/03/2020,4022
11/06/2021,18/03/2020,4230
11/06/2021,19/03/2020,3754
11/06/2021,20/03/2020,5353
11/06/2021,21/03/2020,3320
11/06/2021,22/03/2020,3327
11/06/2021,23/03/2020,3805
11/06/2021,24/03/2020,3051
11/06/2021,25/03/2020,3246
11/06/2021,26/03/2020,2788
11/06/2021,27/03/2020,3019
11/06/2021,28/03/2020,2675
11/06/2021,29/03/2020,2087
11/06/2021,30/03/2020,3072
11/06/2021,31/03/2020,2149
11/06/2021,01/04/2020,3351
11/06/2021,02/04/2020,2157
11/06/2021,03/04/2020,2245
11/06/2021,04/04/2020,1877
11/06/2021,05/04/2020,1693
11/06/2021,06/04/2020,1972
11/06/2021,07/04/2020,1805
11/06/2021,08/04/2020,1807
11/06/2021,09/04/2020,1616
11/06/2021,10/04/2020,2199
11/06/2021,11/04/2020,1293
11/06/2021,12/04/2020,1437
11/06/2021,13/04/2020,1313
11/06/2021,14/04/2020,1555
11/06/2021,15/04/2020,1737
11/06/2021,16/04/2020,1376
11/06/2021,17/04/2020,1339
11/06/2021,18/04/2020,1121
