iss_date,DATA_PRELIEVO_DIAGNOSI,CASI
08/06/2021,29/01/2020,<5
08/06/2021,06/02/2020,<5
08/06/2021,20/02/2020,<5
08/06/2021,21/02/2020,36
08/06/2021,22/02/2020,57
08/06/2021,23/02/2020,77
08/06/2021,24/02/2020,86
08/06/2021,25/02/2020,191
08/06/2021,26/02/2020,277
08/06/2021,27/02/2020,284
08/06/2021,28/02/2020,354
08/06/2021,29/02/2020,373
08/06/2021,01/03/2020,410
08/06/2021,02/03/2020,631
08/06/2021,03/03/2020,804
08/06/2021,04/03/2020,1077
08/06/2021,05/03/2020,1303
08/06/2021,06/03/2020,1529
08/06/2021,07/03/2020,1416
08/06/2021,08/03/2020,1453
08/06/2021,09/03/2020,2239
08/06/2021,10/03/2020,2457
08/06/2021,11/03/2020,2777
08/06/2021,12/03/2020,3142
08/06/2021,13/03/2020,4106
08/06/2021,14/03/2020,3535
08/06/2021,15/03/2020,2849
08/06/2021,16/03/2020,4810
08/06/2021,17/03/2020,5341
08/06/2021,18/03/2020,5690
08/06/2021,19/03/2020,5689
08/06/2021,20/03/2020,6239
08/06/2021,21/03/2020,4908
08/06/2021,22/03/2020,3934
08/06/2021,23/03/2020,6089
08/06/2021,24/03/2020,5904
08/06/2021,25/03/2020,5771
08/06/2021,26/03/2020,5672
08/06/2021,27/03/2020,5762
08/06/2021,28/03/2020,4510
08/06/2021,29/03/2020,2961
08/06/2021,30/03/2020,5067
08/06/2021,31/03/2020,5342
08/06/2021,01/04/2020,4998
08/06/2021,02/04/2020,4721
08/06/2021,03/04/2020,4441
08/06/2021,04/04/2020,3649
08/06/2021,05/04/2020,2592
08/06/2021,06/04/2020,4080
08/06/2021,07/04/2020,4138
08/06/2021,08/04/2020,4796
08/06/2021,09/04/2020,4671
08/06/2021,10/04/2020,5123
08/06/2021,11/04/2020,3413
08/06/2021,12/04/2020,1917
08/06/2021,13/04/2020,2264
08/06/2021,14/04/2020,3272
08/06/2021,15/04/2020,3953
08/06/2021,16/04/2020,3702
08/06/2021,17/04/2020,3492
08/06/2021,18/04/2020,2637
08/06/2021,19/04/2020,1388
08/06/2021,20/04/2020,3002
08/06/2021,21/04/2020,3073
08/06/2021,22/04/2020,2606
08/06/2021,23/04/2020,2804
08/06/2021,24/04/2020,2735
08/06/2021,25/04/2020,1666
08/06/2021,26/04/2020,1017
08/06/2021,27/04/2020,1971
08/06/2021,28/04/2020,2241
08/06/2021,29/04/2020,2325
08/06/2021,30/04/2020,2261
08/06/2021,01/05/2020,1080
08/06/2021,02/05/2020,1019
08/06/2021,03/05/2020,503
08/06/2021,04/05/2020,1448
08/06/2021,05/05/2020,1535
08/06/2021,06/05/2020,1442
08/06/2021,07/05/2020,1387
08/06/2021,08/05/2020,1380
08/06/2021,09/05/2020,734
08/06/2021,10/05/2020,333
08/06/2021,11/05/2020,871
08/06/2021,12/05/2020,917
