iss_date,NOME_NUTS2,CASI_CUMULATIVI
08/06/2021,Abruzzo,74313
08/06/2021,Basilicata,26095
08/06/2021,Calabria,67474
08/06/2021,Campania,404730
08/06/2021,Emilia-Romagna,384968
08/06/2021,Friuli-Venezia Giulia,103751
08/06/2021,Lazio,351778
08/06/2021,Liguria,103119
08/06/2021,Lombardia,836931
08/06/2021,Marche,102037
08/06/2021,Molise,13620
08/06/2021,Piemonte,362533
08/06/2021,Provincia Autonoma di Bolzano/Bozen,64554
08/06/2021,Provincia Autonoma di Trento,46635
08/06/2021,Puglia,251451
08/06/2021,Sardegna,56897
08/06/2021,Sicilia,228998
08/06/2021,Toscana,242273
08/06/2021,Umbria,57012
08/06/2021,Valle d'Aosta/Vallée d'Aoste,11575
08/06/2021,Veneto,424990
