iss_date,DATA_DECESSO,DECESSI
11/06/2021,21/02/2020,<5
11/06/2021,22/02/2020,<5
11/06/2021,23/02/2020,<5
11/06/2021,24/02/2020,<5
11/06/2021,25/02/2020,8
11/06/2021,26/02/2020,6
11/06/2021,27/02/2020,8
11/06/2021,28/02/2020,11
11/06/2021,29/02/2020,15
11/06/2021,01/03/2020,26
11/06/2021,02/03/2020,24
11/06/2021,03/03/2020,56
11/06/2021,04/03/2020,56
11/06/2021,05/03/2020,80
11/06/2021,06/03/2020,111
11/06/2021,07/03/2020,168
11/06/2021,08/03/2020,176
11/06/2021,09/03/2020,226
11/06/2021,10/03/2020,281
11/06/2021,11/03/2020,312
11/06/2021,12/03/2020,323
11/06/2021,13/03/2020,379
11/06/2021,14/03/2020,445
11/06/2021,15/03/2020,434
11/06/2021,16/03/2020,512
11/06/2021,17/03/2020,574
11/06/2021,18/03/2020,645
11/06/2021,19/03/2020,654
11/06/2021,20/03/2020,755
11/06/2021,21/03/2020,820
11/06/2021,22/03/2020,816
11/06/2021,23/03/2020,864
11/06/2021,24/03/2020,822
11/06/2021,25/03/2020,873
11/06/2021,26/03/2020,837
11/06/2021,27/03/2020,883
11/06/2021,28/03/2020,927
11/06/2021,29/03/2020,767
11/06/2021,30/03/2020,794
11/06/2021,31/03/2020,708
11/06/2021,01/04/2020,715
11/06/2021,02/04/2020,693
11/06/2021,03/04/2020,681
11/06/2021,04/04/2020,640
11/06/2021,05/04/2020,603
11/06/2021,06/04/2020,593
11/06/2021,07/04/2020,614
11/06/2021,08/04/2020,604
11/06/2021,09/04/2020,544
11/06/2021,10/04/2020,608
11/06/2021,11/04/2020,588
11/06/2021,12/04/2020,580
11/06/2021,13/04/2020,535
11/06/2021,14/04/2020,542
11/06/2021,15/04/2020,514
11/06/2021,16/04/2020,452
11/06/2021,17/04/2020,478
11/06/2021,18/04/2020,465
11/06/2021,19/04/2020,463
11/06/2021,20/04/2020,448
11/06/2021,21/04/2020,366
11/06/2021,22/04/2020,384
11/06/2021,23/04/2020,358
11/06/2021,24/04/2020,387
11/06/2021,25/04/2020,359
11/06/2021,26/04/2020,323
11/06/2021,27/04/2020,331
11/06/2021,28/04/2020,313
11/06/2021,29/04/2020,299
11/06/2021,30/04/2020,263
11/06/2021,01/05/2020,259
11/06/2021,02/05/2020,254
11/06/2021,03/05/2020,243
11/06/2021,04/05/2020,220
11/06/2021,05/05/2020,226
11/06/2021,06/05/2020,219
11/06/2021,07/05/2020,180
11/06/2021,08/05/2020,172
11/06/2021,09/05/2020,199
11/06/2021,10/05/2020,170
11/06/2021,11/05/2020,162
11/06/2021,12/05/2020,160
11/06/2021,13/05/2020,145
11/06/2021,14/05/2020,142
11/06/2021,15/05/2020,155
