iss_date,DATARICOVERO1,RICOVERI
10/06/2021,20/02/2020,92
10/06/2021,21/02/2020,121
10/06/2021,22/02/2020,106
10/06/2021,23/02/2020,152
10/06/2021,24/02/2020,191
10/06/2021,25/02/2020,268
10/06/2021,26/02/2020,276
10/06/2021,27/02/2020,319
10/06/2021,28/02/2020,379
10/06/2021,29/02/2020,373
10/06/2021,01/03/2020,444
10/06/2021,02/03/2020,666
10/06/2021,03/03/2020,818
10/06/2021,04/03/2020,915
10/06/2021,05/03/2020,1091
10/06/2021,06/03/2020,1233
10/06/2021,07/03/2020,1205
10/06/2021,08/03/2020,1161
10/06/2021,09/03/2020,1453
10/06/2021,10/03/2020,1595
10/06/2021,11/03/2020,1754
10/06/2021,12/03/2020,1905
10/06/2021,13/03/2020,2328
10/06/2021,14/03/2020,1994
10/06/2021,15/03/2020,1904
10/06/2021,16/03/2020,2489
10/06/2021,17/03/2020,2670
10/06/2021,18/03/2020,2707
10/06/2021,19/03/2020,2783
10/06/2021,20/03/2020,2854
10/06/2021,21/03/2020,2538
10/06/2021,22/03/2020,2191
10/06/2021,23/03/2020,2704
10/06/2021,24/03/2020,2611
10/06/2021,25/03/2020,2321
10/06/2021,26/03/2020,2119
10/06/2021,27/03/2020,2214
10/06/2021,28/03/2020,1733
10/06/2021,29/03/2020,1423
10/06/2021,30/03/2020,1686
10/06/2021,31/03/2020,1570
10/06/2021,01/04/2020,1485
10/06/2021,02/04/2020,1452
10/06/2021,03/04/2020,1255
10/06/2021,04/04/2020,1013
10/06/2021,05/04/2020,835
10/06/2021,06/04/2020,1012
10/06/2021,07/04/2020,1014
10/06/2021,08/04/2020,1033
10/06/2021,09/04/2020,990
10/06/2021,10/04/2020,899
10/06/2021,11/04/2020,800
10/06/2021,12/04/2020,661
10/06/2021,13/04/2020,620
10/06/2021,14/04/2020,837
10/06/2021,15/04/2020,688
10/06/2021,16/04/2020,693
10/06/2021,17/04/2020,706
10/06/2021,18/04/2020,568
10/06/2021,19/04/2020,461
10/06/2021,20/04/2020,646
10/06/2021,21/04/2020,579
10/06/2021,22/04/2020,584
10/06/2021,23/04/2020,575
10/06/2021,24/04/2020,541
10/06/2021,25/04/2020,426
10/06/2021,26/04/2020,348
10/06/2021,27/04/2020,419
10/06/2021,28/04/2020,415
10/06/2021,29/04/2020,401
10/06/2021,30/04/2020,351
10/06/2021,01/05/2020,269
10/06/2021,02/05/2020,235
10/06/2021,03/05/2020,180
10/06/2021,04/05/2020,284
10/06/2021,05/05/2020,271
10/06/2021,06/05/2020,281
10/06/2021,07/05/2020,264
10/06/2021,08/05/2020,274
10/06/2021,09/05/2020,163
10/06/2021,10/05/2020,154
10/06/2021,11/05/2020,225
10/06/2021,12/05/2020,177
10/06/2021,13/05/2020,178
10/06/2021,14/05/2020,186
10/06/2021,15/05/2020,190
10/06/2021,16/05/2020,134
10/06/2021,17/05/2020,115
10/06/2021,18/05/2020,147
10/06/2021,19/05/2020,143
10/06/2021,20/05/2020,138
10/06/2021,21/05/2020,107
10/06/2021,22/05/2020,111
10/06/2021,23/05/2020,88
10/06/2021,24/05/2020,81
10/06/2021,25/05/2020,137
10/06/2021,26/05/2020,103
10/06/2021,27/05/2020,96
10/06/2021,28/05/2020,76
10/06/2021,29/05/2020,94
10/06/2021,30/05/2020,79
10/06/2021,31/05/2020,47
10/06/2021,01/06/2020,97
10/06/2021,02/06/2020,59
10/06/2021,03/06/2020,79
10/06/2021,04/06/2020,71
10/06/2021,05/06/2020,78
10/06/2021,06/06/2020,47
10/06/2021,07/06/2020,42
10/06/2021,08/06/2020,92
10/06/2021,09/06/2020,62
10/06/2021,10/06/2020,69
10/06/2021,11/06/2020,51
10/06/2021,12/06/2020,66
10/06/2021,13/06/2020,58
10/06/2021,14/06/2020,48
10/06/2021,15/06/2020,63
10/06/2021,16/06/2020,50
10/06/2021,17/06/2020,56
10/06/2021,18/06/2020,63
10/06/2021,19/06/2020,68
10/06/2021,20/06/2020,34
10/06/2021,21/06/2020,40
10/06/2021,22/06/2020,67
10/06/2021,23/06/2020,50
10/06/2021,24/06/2020,65
10/06/2021,25/06/2020,64
10/06/2021,26/06/2020,68
10/06/2021,27/06/2020,37
10/06/2021,28/06/2020,29
10/06/2021,29/06/2020,69
10/06/2021,30/06/2020,58
10/06/2021,01/07/2020,49
10/06/2021,02/07/2020,63
10/06/2021,03/07/2020,69
10/06/2021,04/07/2020,36
10/06/2021,05/07/2020,47
10/06/2021,06/07/2020,56
10/06/2021,07/07/2020,45
10/06/2021,08/07/2020,54
10/06/2021,09/07/2020,44
10/06/2021,10/07/2020,61
10/06/2021,11/07/2020,44
10/06/2021,12/07/2020,36
10/06/2021,13/07/2020,57
10/06/2021,14/07/2020,48
10/06/2021,15/07/2020,52
10/06/2021,16/07/2020,53
10/06/2021,17/07/2020,74
10/06/2021,18/07/2020,42
10/06/2021,19/07/2020,35
10/06/2021,20/07/2020,59
10/06/2021,21/07/2020,66
10/06/2021,22/07/2020,56
10/06/2021,23/07/2020,59
10/06/2021,24/07/2020,55
10/06/2021,25/07/2020,58
10/06/2021,26/07/2020,41
10/06/2021,27/07/2020,50
10/06/2021,28/07/2020,56
10/06/2021,29/07/2020,50
10/06/2021,30/07/2020,52
10/06/2021,31/07/2020,71
10/06/2021,01/08/2020,65
10/06/2021,02/08/2020,48
10/06/2021,03/08/2020,76
10/06/2021,04/08/2020,59
10/06/2021,05/08/2020,74
10/06/2021,06/08/2020,52
10/06/2021,07/08/2020,65
10/06/2021,08/08/2020,56
10/06/2021,09/08/2020,61
10/06/2021,10/08/2020,78
10/06/2021,11/08/2020,58
10/06/2021,12/08/2020,87
10/06/2021,13/08/2020,77
10/06/2021,14/08/2020,80
10/06/2021,15/08/2020,60
10/06/2021,16/08/2020,62
10/06/2021,17/08/2020,82
10/06/2021,18/08/2020,99
10/06/2021,19/08/2020,127
10/06/2021,20/08/2020,77
10/06/2021,21/08/2020,91
10/06/2021,22/08/2020,111
10/06/2021,23/08/2020,89
10/06/2021,24/08/2020,117
10/06/2021,25/08/2020,141
10/06/2021,26/08/2020,142
10/06/2021,27/08/2020,134
10/06/2021,28/08/2020,136
10/06/2021,29/08/2020,105
10/06/2021,30/08/2020,113
10/06/2021,31/08/2020,123
10/06/2021,01/09/2020,151
10/06/2021,02/09/2020,165
10/06/2021,03/09/2020,179
10/06/2021,04/09/2020,164
10/06/2021,05/09/2020,147
10/06/2021,06/09/2020,119
10/06/2021,07/09/2020,200
10/06/2021,08/09/2020,171
10/06/2021,09/09/2020,179
