iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
10/06/2021,F,0-9,7,111668
10/06/2021,F,10-19,7,194853
10/06/2021,F,20-29,24,246165
10/06/2021,F,30-39,90,269701
10/06/2021,F,40-49,323,354881
10/06/2021,F,50-59,1225,373469
10/06/2021,F,60-69,3517,223880
10/06/2021,F,70-79,10186,166883
10/06/2021,F,80-89,23136,149799
10/06/2021,F,>90,15908,66338
10/06/2021,F,Non noto,<5,54
10/06/2021,M,0-9,5,119776
10/06/2021,M,10-19,8,211770
10/06/2021,M,20-29,43,253319
10/06/2021,M,30-39,156,256616
10/06/2021,M,40-49,770,322680
10/06/2021,M,50-59,3151,359362
10/06/2021,M,60-69,9279,241781
10/06/2021,M,70-79,21361,172076
10/06/2021,M,80-89,27521,103769
10/06/2021,M,>90,8411,21228
10/06/2021,M,Non noto,<5,49
10/06/2021,Non noto,20-29,<5,<5
10/06/2021,Non noto,30-39,<5,<5
10/06/2021,Non noto,40-49,<5,<5
10/06/2021,Non noto,50-59,<5,<5
10/06/2021,Non noto,60-69,<5,<5
10/06/2021,Non noto,80-89,<5,7
