iss_date,SESSO,AGE_GROUP,STATO_CLINICO,CASI
10/06/2021,F,0-9,ASINTOMATICO,6661
10/06/2021,F,0-9,CRITICO,66
10/06/2021,F,0-9,LIEVE,1137
10/06/2021,F,0-9,PAUCI-SINTOMATICO,1027
10/06/2021,F,0-9,SEVERO,53
10/06/2021,F,10-19,ASINTOMATICO,10328
10/06/2021,F,10-19,CRITICO,220
10/06/2021,F,10-19,LIEVE,2421
10/06/2021,F,10-19,PAUCI-SINTOMATICO,2319
10/06/2021,F,10-19,SEVERO,59
10/06/2021,F,20-29,ASINTOMATICO,11803
10/06/2021,F,20-29,CRITICO,264
10/06/2021,F,20-29,LIEVE,3123
10/06/2021,F,20-29,PAUCI-SINTOMATICO,2906
10/06/2021,F,20-29,SEVERO,242
10/06/2021,F,30-39,ASINTOMATICO,12340
10/06/2021,F,30-39,CRITICO,303
10/06/2021,F,30-39,LIEVE,3800
10/06/2021,F,30-39,PAUCI-SINTOMATICO,3244
10/06/2021,F,30-39,SEVERO,451
10/06/2021,F,40-49,ASINTOMATICO,14634
10/06/2021,F,40-49,CRITICO,521
10/06/2021,F,40-49,LIEVE,5043
10/06/2021,F,40-49,PAUCI-SINTOMATICO,4217
10/06/2021,F,40-49,SEVERO,456
10/06/2021,F,50-59,ASINTOMATICO,15114
10/06/2021,F,50-59,CRITICO,624
10/06/2021,F,50-59,LIEVE,5070
10/06/2021,F,50-59,PAUCI-SINTOMATICO,4316
10/06/2021,F,50-59,SEVERO,752
10/06/2021,F,60-69,ASINTOMATICO,9708
10/06/2021,F,60-69,CRITICO,506
10/06/2021,F,60-69,LIEVE,3415
10/06/2021,F,60-69,PAUCI-SINTOMATICO,2820
10/06/2021,F,60-69,SEVERO,1006
10/06/2021,F,70-79,ASINTOMATICO,7026
10/06/2021,F,70-79,CRITICO,408
10/06/2021,F,70-79,LIEVE,2492
10/06/2021,F,70-79,PAUCI-SINTOMATICO,1840
10/06/2021,F,70-79,SEVERO,1481
10/06/2021,F,80-89,ASINTOMATICO,5691
10/06/2021,F,80-89,CRITICO,193
10/06/2021,F,80-89,LIEVE,1599
10/06/2021,F,80-89,PAUCI-SINTOMATICO,1126
10/06/2021,F,80-89,SEVERO,1718
10/06/2021,F,>90,ASINTOMATICO,2385
10/06/2021,F,>90,CRITICO,49
10/06/2021,F,>90,LIEVE,588
10/06/2021,F,>90,PAUCI-SINTOMATICO,429
10/06/2021,F,>90,SEVERO,518
10/06/2021,F,Non noto,ASINTOMATICO,19
10/06/2021,F,Non noto,PAUCI-SINTOMATICO,<5
10/06/2021,F,Non noto,SEVERO,<5
10/06/2021,M,0-9,ASINTOMATICO,7102
10/06/2021,M,0-9,CRITICO,63
10/06/2021,M,0-9,LIEVE,1198
10/06/2021,M,0-9,PAUCI-SINTOMATICO,1024
10/06/2021,M,0-9,SEVERO,61
10/06/2021,M,10-19,ASINTOMATICO,11508
10/06/2021,M,10-19,CRITICO,232
10/06/2021,M,10-19,LIEVE,2467
10/06/2021,M,10-19,PAUCI-SINTOMATICO,2270
10/06/2021,M,10-19,SEVERO,96
10/06/2021,M,20-29,ASINTOMATICO,12842
10/06/2021,M,20-29,CRITICO,290
10/06/2021,M,20-29,LIEVE,3154
10/06/2021,M,20-29,PAUCI-SINTOMATICO,2864
10/06/2021,M,20-29,SEVERO,204
10/06/2021,M,30-39,ASINTOMATICO,12594
10/06/2021,M,30-39,CRITICO,270
10/06/2021,M,30-39,LIEVE,3300
10/06/2021,M,30-39,PAUCI-SINTOMATICO,2948
10/06/2021,M,30-39,SEVERO,379
10/06/2021,M,40-49,ASINTOMATICO,14206
10/06/2021,M,40-49,CRITICO,474
10/06/2021,M,40-49,LIEVE,4537
10/06/2021,M,40-49,PAUCI-SINTOMATICO,3625
10/06/2021,M,40-49,SEVERO,759
10/06/2021,M,50-59,ASINTOMATICO,15085
10/06/2021,M,50-59,CRITICO,750
10/06/2021,M,50-59,LIEVE,4909
10/06/2021,M,50-59,PAUCI-SINTOMATICO,4179
10/06/2021,M,50-59,SEVERO,1434
10/06/2021,M,60-69,ASINTOMATICO,10579
10/06/2021,M,60-69,CRITICO,767
10/06/2021,M,60-69,LIEVE,3544
10/06/2021,M,60-69,PAUCI-SINTOMATICO,2633
10/06/2021,M,60-69,SEVERO,1788
10/06/2021,M,70-79,ASINTOMATICO,6680
10/06/2021,M,70-79,CRITICO,607
10/06/2021,M,70-79,LIEVE,2408
10/06/2021,M,70-79,PAUCI-SINTOMATICO,1718
10/06/2021,M,70-79,SEVERO,2004
10/06/2021,M,80-89,ASINTOMATICO,3567
10/06/2021,M,80-89,CRITICO,166
10/06/2021,M,80-89,LIEVE,1191
10/06/2021,M,80-89,PAUCI-SINTOMATICO,749
10/06/2021,M,80-89,SEVERO,1502
10/06/2021,M,>90,ASINTOMATICO,799
10/06/2021,M,>90,CRITICO,22
10/06/2021,M,>90,LIEVE,218
10/06/2021,M,>90,PAUCI-SINTOMATICO,154
10/06/2021,M,>90,SEVERO,252
10/06/2021,M,Non noto,ASINTOMATICO,16
10/06/2021,M,Non noto,LIEVE,<5
10/06/2021,M,Non noto,PAUCI-SINTOMATICO,<5
