iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
08/12/2020,F,0-9,<5,30885
08/12/2020,F,10-19,<5,68893
08/12/2020,F,20-29,14,103453
08/12/2020,F,30-39,44,107953
08/12/2020,F,40-49,148,147625
08/12/2020,F,50-59,496,161621
08/12/2020,F,60-69,1424,89696
08/12/2020,F,70-79,4593,68514
08/12/2020,F,80-89,10780,75359
08/12/2020,F,>90,7457,38160
08/12/2020,F,Non noto,<5,60
08/12/2020,M,0-9,<5,33215
08/12/2020,M,10-19,<5,76155
08/12/2020,M,20-29,16,106642
08/12/2020,M,30-39,83,105119
08/12/2020,M,40-49,365,128843
08/12/2020,M,50-59,1501,151839
08/12/2020,M,60-69,4323,103661
08/12/2020,M,70-79,10262,76461
08/12/2020,M,80-89,13509,51858
08/12/2020,M,>90,3815,11156
08/12/2020,M,Non noto,5,62
08/12/2020,Non noto,20-29,<5,<5
08/12/2020,Non noto,30-39,<5,<5
08/12/2020,Non noto,40-49,<5,<5
08/12/2020,Non noto,50-59,<5,<5
08/12/2020,Non noto,60-69,<5,<5
08/12/2020,Non noto,80-89,<5,7
