iss_date,DATA_INIZIO_SINTOMI,CASI_SINT
08/12/2020,28/01/2020,9
08/12/2020,29/01/2020,14
08/12/2020,30/01/2020,17
08/12/2020,31/01/2020,15
08/12/2020,01/02/2020,45
08/12/2020,02/02/2020,30
08/12/2020,03/02/2020,20
08/12/2020,04/02/2020,21
08/12/2020,05/02/2020,29
08/12/2020,06/02/2020,22
08/12/2020,07/02/2020,15
08/12/2020,08/02/2020,14
08/12/2020,09/02/2020,15
08/12/2020,10/02/2020,55
08/12/2020,11/02/2020,20
08/12/2020,12/02/2020,45
08/12/2020,13/02/2020,42
08/12/2020,14/02/2020,60
08/12/2020,15/02/2020,135
08/12/2020,16/02/2020,77
08/12/2020,17/02/2020,127
08/12/2020,18/02/2020,153
08/12/2020,19/02/2020,127
08/12/2020,20/02/2020,379
08/12/2020,21/02/2020,294
08/12/2020,22/02/2020,367
08/12/2020,23/02/2020,472
08/12/2020,24/02/2020,616
08/12/2020,25/02/2020,773
08/12/2020,26/02/2020,690
08/12/2020,27/02/2020,798
08/12/2020,28/02/2020,1134
08/12/2020,29/02/2020,1006
08/12/2020,01/03/2020,2254
08/12/2020,02/03/2020,1794
08/12/2020,03/03/2020,2033
08/12/2020,04/03/2020,1760
08/12/2020,05/03/2020,2395
08/12/2020,06/03/2020,2666
08/12/2020,07/03/2020,2853
08/12/2020,08/03/2020,3345
08/12/2020,09/03/2020,3932
08/12/2020,10/03/2020,5454
08/12/2020,11/03/2020,3711
08/12/2020,12/03/2020,4198
08/12/2020,13/03/2020,4711
08/12/2020,14/03/2020,4091
08/12/2020,15/03/2020,5187
08/12/2020,16/03/2020,4693
08/12/2020,17/03/2020,3994
08/12/2020,18/03/2020,4192
08/12/2020,19/03/2020,3729
08/12/2020,20/03/2020,5313
08/12/2020,21/03/2020,3288
08/12/2020,22/03/2020,3301
08/12/2020,23/03/2020,3788
08/12/2020,24/03/2020,3023
08/12/2020,25/03/2020,3218
08/12/2020,26/03/2020,2750
08/12/2020,27/03/2020,3003
08/12/2020,28/03/2020,2650
08/12/2020,29/03/2020,2078
08/12/2020,30/03/2020,3032
08/12/2020,31/03/2020,2125
08/12/2020,01/04/2020,3334
08/12/2020,02/04/2020,2139
08/12/2020,03/04/2020,2232
08/12/2020,04/04/2020,1851
08/12/2020,05/04/2020,1684
08/12/2020,06/04/2020,1941
08/12/2020,07/04/2020,1782
