iss_date,DATA_PRELIEVO_DIAGNOSI,CASI
08/12/2020,29/01/2020,<5
08/12/2020,06/02/2020,<5
08/12/2020,20/02/2020,<5
08/12/2020,21/02/2020,36
08/12/2020,22/02/2020,56
08/12/2020,23/02/2020,76
08/12/2020,24/02/2020,86
08/12/2020,25/02/2020,190
08/12/2020,26/02/2020,278
08/12/2020,27/02/2020,285
08/12/2020,28/02/2020,357
08/12/2020,29/02/2020,371
08/12/2020,01/03/2020,412
08/12/2020,02/03/2020,630
08/12/2020,03/03/2020,806
08/12/2020,04/03/2020,1082
08/12/2020,05/03/2020,1299
08/12/2020,06/03/2020,1526
08/12/2020,07/03/2020,1423
08/12/2020,08/03/2020,1446
08/12/2020,09/03/2020,2246
08/12/2020,10/03/2020,2449
08/12/2020,11/03/2020,2769
08/12/2020,12/03/2020,3142
08/12/2020,13/03/2020,4105
08/12/2020,14/03/2020,3534
08/12/2020,15/03/2020,2854
08/12/2020,16/03/2020,4808
08/12/2020,17/03/2020,5348
08/12/2020,18/03/2020,5694
08/12/2020,19/03/2020,5692
08/12/2020,20/03/2020,6238
08/12/2020,21/03/2020,4918
08/12/2020,22/03/2020,3936
08/12/2020,23/03/2020,6084
08/12/2020,24/03/2020,5916
08/12/2020,25/03/2020,5775
08/12/2020,26/03/2020,5678
08/12/2020,27/03/2020,5761
08/12/2020,28/03/2020,4507
08/12/2020,29/03/2020,2961
08/12/2020,30/03/2020,5062
08/12/2020,31/03/2020,5344
08/12/2020,01/04/2020,4997
08/12/2020,02/04/2020,4722
08/12/2020,03/04/2020,4439
08/12/2020,04/04/2020,3647
08/12/2020,05/04/2020,2599
08/12/2020,06/04/2020,4080
08/12/2020,07/04/2020,4142
08/12/2020,08/04/2020,4796
08/12/2020,09/04/2020,4673
08/12/2020,10/04/2020,5119
08/12/2020,11/04/2020,3407
08/12/2020,12/04/2020,1916
08/12/2020,13/04/2020,2263
08/12/2020,14/04/2020,3279
08/12/2020,15/04/2020,3950
08/12/2020,16/04/2020,3696
08/12/2020,17/04/2020,3496
08/12/2020,18/04/2020,2640
08/12/2020,19/04/2020,1386
08/12/2020,20/04/2020,3001
08/12/2020,21/04/2020,3072
08/12/2020,22/04/2020,2601
08/12/2020,23/04/2020,2800
08/12/2020,24/04/2020,2727
08/12/2020,25/04/2020,1665
08/12/2020,26/04/2020,1024
08/12/2020,27/04/2020,1974
08/12/2020,28/04/2020,2236
08/12/2020,29/04/2020,2323
08/12/2020,30/04/2020,2264
